Date,PAYEMS,BLS_annual,diff_monthly,diff_yoy,Source
1919-07-01,27078000.0,27078000.0,,,Cubic spline interp. of BLS annual data
1919-08-01,27475457.62935939,,397457.6293593906,,Cubic spline interp. of BLS annual data
1919-09-01,27784678.72738831,,309221.0980289206,,Cubic spline interp. of BLS annual data
1919-10-01,28011645.655520853,,226966.92813254148,,Cubic spline interp. of BLS annual data
1919-11-01,28162340.77519108,,150695.11967022717,,Cubic spline interp. of BLS annual data
1919-12-01,28242746.447833102,,80405.67264202237,,Cubic spline interp. of BLS annual data
1920-01-01,28258845.034880977,,16098.587047874928,,Cubic spline interp. of BLS annual data
1920-02-01,28216618.897768788,,-42226.137112189084,,Cubic spline interp. of BLS annual data
1920-03-01,28122050.39793065,,-94568.49983813986,,Cubic spline interp. of BLS annual data
1920-04-01,27981121.89680061,,-140928.501130037,,Cubic spline interp. of BLS annual data
1920-05-01,27799815.75581276,,-181306.14098785073,,Cubic spline interp. of BLS annual data
1920-06-01,27584114.33640121,,-215701.4194115512,,Cubic spline interp. of BLS annual data
1920-07-01,27340000.0,27340000.0,-244114.33640120924,262000.0,Cubic spline interp. of BLS annual data
1920-08-01,27073455.108043242,,-266544.89195675775,-402002.52131614834,Cubic spline interp. of BLS annual data
1920-09-01,26790462.021965012,,-282993.0860782303,-994216.7054232992,Cubic spline interp. of BLS annual data
1920-10-01,26497003.103199396,,-293458.9187656157,-1514642.5523214564,Cubic spline interp. of BLS annual data
1920-11-01,26199060.713180467,,-297942.3900189288,-1963280.0620106123,Cubic spline interp. of BLS annual data
1920-12-01,25902617.21334232,,-296443.4998381473,-2340129.234490782,Cubic spline interp. of BLS annual data
1921-01-01,25613654.96511903,,-288962.24822328985,-2645190.069761947,Cubic spline interp. of BLS annual data
1921-02-01,25338156.32994468,,-275498.63517434895,-2878462.5678241067,Cubic spline interp. of BLS annual data
1921-03-01,25082103.669253364,,-256052.66069131717,-3039946.728677284,Cubic spline interp. of BLS annual data
1921-04-01,24851479.34447915,,-230624.32477421314,-3129642.55232146,Cubic spline interp. of BLS annual data
1921-05-01,24652265.71705613,,-199213.62742302194,-3147550.0387566313,Cubic spline interp. of BLS annual data
1921-06-01,24490445.14841839,,-161820.56863773987,-3093669.18798282,Cubic spline interp. of BLS annual data
1921-07-01,24372000.0,24372000.0,-118445.14841838926,-2968000.0,Cubic spline interp. of BLS annual data
1921-08-01,24301352.72550467,,-70647.27449532971,-2772102.382538572,Cubic spline interp. of BLS annual data
1921-09-01,24276686.1477146,,-24666.577790070325,-2513775.874250412,Cubic spline interp. of BLS annual data
1921-10-01,24294623.18168158,,17937.033966980875,-2202379.9215178154,Cubic spline interp. of BLS annual data
1921-11-01,24351786.74245742,,57163.56077583879,-1847273.9707230479,Cubic spline interp. of BLS annual data
1921-12-01,24444799.745093923,,93013.00263650343,-1457817.468248397,Cubic spline interp. of BLS annual data
1922-01-01,24570285.104642916,,125485.35954899341,-1043369.8604761139,Cubic spline interp. of BLS annual data
1922-02-01,24724865.73615618,,154580.63151326403,-613290.5937885009,Cubic spline interp. of BLS annual data
1922-03-01,24905164.554685537,,180298.81852935627,-176939.11456782743,Cubic spline interp. of BLS annual data
1922-04-01,25107804.475282792,,202639.92059725523,256325.13080364093,Cubic spline interp. of BLS annual data
1922-05-01,25329408.412999745,,221603.93771695346,677142.6959436163,Cubic spline interp. of BLS annual data
1922-06-01,25566599.282888215,,237190.86988846958,1076154.1344698258,Cubic spline interp. of BLS annual data
1922-07-01,25816000.0,25816000.0,249400.71711178496,1444000.0,Cubic spline interp. of BLS annual data
1922-08-01,26074146.721419536,,258146.72141953558,1772793.9959148653,Cubic spline interp. of BLS annual data
1922-09-01,26337228.57236177,,263081.85094223544,2060542.424647171,Cubic spline interp. of BLS annual data
1922-10-01,26601347.920074303,,264119.3477125317,2306724.738392722,Cubic spline interp. of BLS annual data
1922-11-01,26862607.131804675,,261259.21173037216,2510820.389347255,Cubic spline interp. of BLS annual data
1922-12-01,27117108.57480049,,254501.44299581647,2672308.8297065683,Cubic spline interp. of BLS annual data
1923-01-01,27360954.616309322,,243846.04150883108,2790669.511666406,Cubic spline interp. of BLS annual data
1923-02-01,27590247.623578746,,229293.00726942345,2865381.8874225654,Cubic spline interp. of BLS annual data
1923-03-01,27801089.963856343,,210842.3402775973,2895925.4091708064,Cubic spline interp. of BLS annual data
1923-04-01,27989584.004389692,,188494.04053334892,2881779.5291069,Cubic spline interp. of BLS annual data
1923-05-01,28151832.11242636,,162248.1080366671,2822423.6994266137,Cubic spline interp. of BLS annual data
1923-06-01,28283936.655213937,,132104.54278757796,2717337.372325722,Cubic spline interp. of BLS annual data
1923-07-01,28382000.0,28382000.0,98063.34478606284,2566000.0,Cubic spline interp. of BLS annual data
1923-08-01,28443596.268446803,,61596.26844680309,2369449.5470272675,Cubic spline interp. of BLS annual data
1923-09-01,28472186.59987533,,28590.331428527832,2134958.02751356,Cubic spline interp. of BLS annual data
1923-10-01,28472703.888021242,,517.2881459109485,1871355.9679469392,Cubic spline interp. of BLS annual data
1923-11-01,28450081.02662018,,-22622.86140106246,1587473.8948155046,Cubic spline interp. of BLS annual data
1923-12-01,28409250.909407813,,-40830.11721236631,1292142.3346073218,Cubic spline interp. of BLS annual data
1924-01-01,28355146.4301198,,-54104.47928801179,994191.8138104789,Cubic spline interp. of BLS annual data
1924-02-01,28292700.482491802,,-62445.94762799889,702452.8589130566,Cubic spline interp. of BLS annual data
1924-03-01,28226845.960259475,,-65854.52223232761,425755.99640313163,Cubic spline interp. of BLS annual data
1924-04-01,28162515.757158473,,-64330.20310100168,172931.75276878104,Cubic spline interp. of BLS annual data
1924-05-01,28104642.76692445,,-57872.99023402482,-47189.345501910895,Cubic spline interp. of BLS annual data
1924-06-01,28058159.88329307,,-46482.88363137841,-225776.77192086726,Cubic spline interp. of BLS annual data
1924-07-01,28028000.0,28028000.0,-30159.8832930699,-354000.0,Cubic spline interp. of BLS annual data
1924-08-01,28017968.204793237,,-10031.79520676285,-425628.06365356594,Cubic spline interp. of BLS annual data
1924-09-01,28027358.36147023,,9390.156676992774,-444828.238405101,Cubic spline interp. of BLS annual data
1924-10-01,28054336.527840763,,26978.166370533407,-418367.36018047854,Cubic spline interp. of BLS annual data
1924-11-01,28097068.76171462,,42732.23387385532,-353012.26490556076,Cubic spline interp. of BLS annual data
1924-12-01,28153721.120901585,,56652.35918696597,-255529.78850622848,Cubic spline interp. of BLS annual data
1925-01-01,28222459.663211465,,68738.54230988026,-132686.76690833643,Cubic spline interp. of BLS annual data
1925-02-01,28301450.44645404,,78990.78324257582,8749.963962238282,Cubic spline interp. of BLS annual data
1925-03-01,28388859.528439105,,87409.08198506385,162013.56817962974,Cubic spline interp. of BLS annual data
1925-04-01,28482852.96697644,,93993.43853733689,320337.2098179683,Cubic spline interp. of BLS annual data
1925-05-01,28581596.81987584,,98743.85289939865,476954.0529513918,Cubic spline interp. of BLS annual data
1925-06-01,28683257.144947097,,101660.32507125661,625097.2616540268,Cubic spline interp. of BLS annual data
1925-07-01,28786000.0,28786000.0,102742.8550529033,758000.0,Cubic spline interp. of BLS annual data
1925-08-01,28888205.680898745,,102205.68089874461,870237.4761055075,Cubic spline interp. of BLS annual data
1925-09-01,28989111.435725227,,100905.75482648239,961753.0742549971,Cubic spline interp. of BLS annual data
1925-10-01,29088168.75061573,,99057.31489050388,1033832.2227749676,Cubic spline interp. of BLS annual data
1925-11-01,29184829.11170655,,96660.36109082028,1087760.3499919325,Cubic spline interp. of BLS annual data
