epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,14.361895561218262
0,19,,,14.361895561218262,
0,19,212.24375915527344,,,
,1,,,,63.72775650024414
1,39,,,63.727760314941406,
1,39,105.35536193847656,,,
2,49,,66.23817443847656,,
,2,,,,48.78841018676758
2,59,,,48.78840637207031,
2,59,72.83309936523438,,,
,3,,,,62.32917404174805
3,79,,,62.32917404174805,
3,79,62.996185302734375,,,
4,99,,57.96739959716797,,
,4,,,,60.485843658447266
4,99,,,60.485843658447266,
4,99,59.153099060058594,,,
,5,,,,57.36140823364258
5,119,,,57.36140441894531,
5,119,56.26133346557617,,,
,6,,,,55.10382843017578
6,139,,,55.10382843017578,
6,139,57.84423828125,,,
7,149,,52.65122604370117,,
,7,,,,56.784847259521484
7,159,,,56.784847259521484,
7,159,56.65766143798828,,,
,8,,,,44.20634460449219
8,179,,,44.20634460449219,
8,179,55.5832405090332,,,
9,199,,55.43596267700195,,
,9,,,,55.94621276855469
9,199,,,55.94621276855469,
9,199,54.80076217651367,,,
,10,,,,51.24009704589844
10,219,,,51.24009704589844,
10,219,54.74763107299805,,,
,11,,,,51.42094421386719
11,239,,,51.42094421386719,
11,239,55.111881256103516,,,
12,249,,54.55598831176758,,
,12,,,,45.573089599609375
12,259,,,45.573089599609375,
12,259,53.66994094848633,,,
,13,,,,53.689456939697266
13,279,,,53.689456939697266,
13,279,53.30356216430664,,,
14,299,,61.1298942565918,,
,14,,,,49.709991455078125
14,299,,,49.709991455078125,
14,299,55.350547790527344,,,
,15,,,,51.480316162109375
15,319,,,51.480316162109375,
15,319,52.6609001159668,,,
,16,,,,52.017539978027344
16,339,,,52.017539978027344,
16,339,55.114479064941406,,,
17,349,,49.501338958740234,,
,17,,,,30.854393005371094
17,359,,,30.854393005371094,
17,359,53.56964111328125,,,
,18,,,,37.77073287963867
18,379,,,37.77073287963867,
18,379,51.744468688964844,,,
19,399,,44.95383834838867,,
,19,,,,48.08714294433594
19,399,,,48.08714294433594,
19,399,49.97003936767578,,,
,20,,,,51.44844436645508
20,419,,,51.44844055175781,
20,419,49.270748138427734,,,
,21,,,,50.285682678222656
21,439,,,50.285682678222656,
21,439,54.891849517822266,,,
22,449,,51.53314971923828,,
,22,,,,48.61585998535156
22,459,,,48.61585998535156,
22,459,56.821502685546875,,,
,23,,,,35.07699966430664
23,479,,,35.07699966430664,
23,479,61.963714599609375,,,
24,499,,61.284446716308594,,
,24,,,,51.753658294677734
24,499,,,51.753658294677734,
24,499,74.51051330566406,,,
,25,,,,nan
25,519,,,nan,
25,519,nan,,,
,26,,,,nan
26,539,,,nan,
26,539,nan,,,
27,549,,nan,,
,27,,,,nan
27,559,,,nan,
27,559,nan,,,
,28,,,,nan
28,579,,,nan,
28,579,nan,,,
29,599,,nan,,
,29,,,,nan
29,599,,,nan,
29,599,nan,,,
,30,,,,nan
30,619,,,nan,
30,619,nan,,,
,31,,,,nan
31,639,,,nan,
31,639,nan,,,
32,649,,nan,,
