epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,34.578514099121094
0,19,,,34.578514099121094,
0,19,59.078426361083984,,,
,1,,,,38.1250114440918
1,39,,,38.1250114440918,
1,39,35.29758834838867,,,
2,49,,34.2314453125,,
,2,,,,30.043893814086914
2,59,,,30.043893814086914,
2,59,33.76609802246094,,,
,3,,,,30.671720504760742
3,79,,,30.671720504760742,
3,79,33.032474517822266,,,
4,99,,31.303800582885742,,
,4,,,,30.653810501098633
4,99,,,30.653810501098633,
4,99,33.42155838012695,,,
,5,,,,28.32346534729004
5,119,,,28.323463439941406,
5,119,32.97325134277344,,,
,6,,,,32.26548385620117
6,139,,,32.26548385620117,
6,139,33.21513748168945,,,
7,149,,31.20729637145996,,
,7,,,,27.908405303955078
7,159,,,27.908405303955078,
7,159,33.403038024902344,,,
,8,,,,32.68144607543945
8,179,,,32.68144607543945,
8,179,32.26747512817383,,,
9,199,,36.732582092285156,,
,9,,,,32.457244873046875
9,199,,,32.457244873046875,
9,199,32.542789459228516,,,
,10,,,,37.109310150146484
10,219,,,37.109310150146484,
10,219,32.45817565917969,,,
,11,,,,34.65194320678711
11,239,,,34.65194320678711,
11,239,33.12150955200195,,,
12,249,,38.07926940917969,,
,12,,,,31.141788482666016
12,259,,,31.14179039001465,
12,259,32.26384735107422,,,
,13,,,,28.608488082885742
13,279,,,28.608488082885742,
13,279,32.89414596557617,,,
14,299,,32.1680908203125,,
,14,,,,34.26836013793945
14,299,,,34.26836013793945,
14,299,31.39402961730957,,,
,15,,,,27.918638229370117
15,319,,,27.918638229370117,
15,319,32.95345687866211,,,
,16,,,,29.579681396484375
16,339,,,29.579683303833008,
16,339,31.82866859436035,,,
17,349,,32.2176628112793,,
,17,,,,35.21833038330078
17,359,,,35.21833038330078,
17,359,32.4081916809082,,,
,18,,,,33.8388557434082
18,379,,,33.8388557434082,
18,379,32.604454040527344,,,
19,399,,30.492780685424805,,
,19,,,,31.71243667602539
19,399,,,31.71243667602539,
19,399,30.85091781616211,,,
,20,,,,37.16246032714844
20,419,,,37.16246032714844,
20,419,31.390710830688477,,,
,21,,,,32.52729415893555
21,439,,,32.52729415893555,
21,439,32.801395416259766,,,
22,449,,36.094932556152344,,
,22,,,,28.901262283325195
22,459,,,28.901262283325195,
22,459,33.0435791015625,,,
,23,,,,28.327022552490234
23,479,,,28.3270206451416,
23,479,32.04038619995117,,,
24,499,,35.62583923339844,,
,24,,,,28.799793243408203
24,499,,,28.799793243408203,
24,499,31.795394897460938,,,
,25,,,,29.81841468811035
25,519,,,29.81841468811035,
25,519,32.640907287597656,,,
,26,,,,24.434396743774414
26,539,,,24.434396743774414,
26,539,31.46061897277832,,,
27,549,,29.395084381103516,,
,27,,,,30.765239715576172
27,559,,,30.765239715576172,
27,559,31.524568557739258,,,
,28,,,,28.186283111572266
28,579,,,28.1862850189209,
28,579,30.02666664123535,,,
29,599,,32.215885162353516,,
,29,,,,31.582727432250977
29,599,,,31.582727432250977,
29,599,32.002071380615234,,,
,30,,,,30.221792221069336
30,619,,,30.221792221069336,
30,619,30.183948516845703,,,
,31,,,,28.54798698425293
31,639,,,28.547985076904297,
31,639,31.787179946899414,,,
32,649,,34.32867431640625,,
,32,,,,32.627376556396484
32,659,,,32.627376556396484,
32,659,32.478633880615234,,,
,33,,,,25.236291885375977
33,679,,,25.236291885375977,
33,679,33.51939392089844,,,
34,699,,33.5413818359375,,
,34,,,,31.59192657470703
34,699,,,31.59192657470703,
34,699,31.453067779541016,,,
,35,,,,31.47991371154785
35,719,,,31.47991371154785,
35,719,32.015968322753906,,,
,36,,,,26.52344512939453
36,739,,,26.52344512939453,
36,739,30.857685089111328,,,
37,749,,34.53476333618164,,
,37,,,,35.58344268798828
37,759,,,35.58344268798828,
37,759,31.508041381835938,,,
,38,,,,29.192941665649414
38,779,,,29.192941665649414,
38,779,32.70994567871094,,,
39,799,,29.39383316040039,,
,39,,,,30.1545467376709
39,799,,,30.1545467376709,
39,799,31.016902923583984,,,
,40,,,,28.018220901489258
40,819,,,28.018220901489258,
40,819,32.92305374145508,,,
,41,,,,26.310758590698242
41,839,,,26.310758590698242,
41,839,32.00585174560547,,,
42,849,,31.84103012084961,,
,42,,,,30.307294845581055
42,859,,,30.307294845581055,
42,859,32.85126495361328,,,
,43,,,,33.390602111816406
43,879,,,33.390602111816406,
43,879,32.32408905029297,,,
44,899,,31.680362701416016,,
,44,,,,35.63735580444336
44,899,,,35.63735580444336,
44,899,31.174293518066406,,,
,45,,,,29.571619033813477
