epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,1.1935091018676758
0,19,,,1.1935091018676758,
0,19,1.5394564867019653,,,
,1,,,,0.9151084423065186
1,39,,,0.9151084423065186,
1,39,1.503101110458374,,,
2,49,,0.495509535074234,,
,2,,,,0.23842240869998932
2,59,,,0.23842240869998932,
2,59,0.6628434658050537,,,
,3,,,,0.6502998471260071
3,79,,,0.6502998471260071,
3,79,-0.6362014412879944,,,
4,99,,nan,,
,4,,,,nan
4,99,,,nan,
4,99,nan,,,
,5,,,,nan
5,119,,,nan,
5,119,nan,,,
,6,,,,nan
6,139,,,nan,
6,139,nan,,,
7,149,,nan,,
,7,,,,nan
7,159,,,nan,
7,159,nan,,,
,8,,,,nan
8,179,,,nan,
8,179,nan,,,
9,199,,nan,,
,9,,,,nan
9,199,,,nan,
9,199,nan,,,
,10,,,,nan
10,219,,,nan,
10,219,nan,,,
,11,,,,nan
11,239,,,nan,
11,239,nan,,,
12,249,,nan,,
,12,,,,nan
12,259,,,nan,
12,259,nan,,,
,13,,,,nan
13,279,,,nan,
13,279,nan,,,
14,299,,nan,,
,14,,,,nan
14,299,,,nan,
14,299,nan,,,
,15,,,,nan
15,319,,,nan,
15,319,nan,,,
,16,,,,nan
16,339,,,nan,
16,339,nan,,,
17,349,,nan,,
,17,,,,nan
17,359,,,nan,
17,359,nan,,,
,18,,,,nan
18,379,,,nan,
18,379,nan,,,
19,399,,nan,,
,19,,,,nan
19,399,,,nan,
19,399,nan,,,
,20,,,,nan
20,419,,,nan,
20,419,nan,,,
,21,,,,nan
21,439,,,nan,
21,439,nan,,,
22,449,,nan,,
,22,,,,nan
22,459,,,nan,
22,459,nan,,,
,23,,,,nan
23,479,,,nan,
23,479,nan,,,
24,499,,nan,,
,24,,,,nan
24,499,,,nan,
24,499,nan,,,
,25,,,,nan
25,519,,,nan,
25,519,nan,,,
,26,,,,nan
26,539,,,nan,
26,539,nan,,,
27,549,,nan,,
,27,,,,nan
27,559,,,nan,
27,559,nan,,,
,28,,,,nan
28,579,,,nan,
28,579,nan,,,
29,599,,nan,,
,29,,,,nan
29,599,,,nan,
29,599,nan,,,
,30,,,,nan
30,619,,,nan,
30,619,nan,,,
,31,,,,nan
31,639,,,nan,
31,639,nan,,,
32,649,,nan,,
,32,,,,nan
32,659,,,nan,
32,659,nan,,,
,33,,,,nan
33,679,,,nan,
33,679,nan,,,
34,699,,nan,,
,34,,,,nan
34,699,,,nan,
34,699,nan,,,
,35,,,,nan
35,719,,,nan,
35,719,nan,,,
,36,,,,nan
36,739,,,nan,
36,739,nan,,,
37,749,,nan,,
,37,,,,nan
37,759,,,nan,
37,759,nan,,,
,38,,,,nan
38,779,,,nan,
38,779,nan,,,
39,799,,nan,,
,39,,,,nan
39,799,,,nan,
39,799,nan,,,
,40,,,,nan
40,819,,,nan,
40,819,nan,,,
,41,,,,nan
41,839,,,nan,
41,839,nan,,,
42,849,,nan,,
,42,,,,nan
42,859,,,nan,
42,859,nan,,,
,43,,,,nan
43,879,,,nan,
43,879,nan,,,
44,899,,nan,,
,44,,,,nan
44,899,,,nan,
44,899,nan,,,
,45,,,,nan
45,919,,,nan,
45,919,nan,,,
,46,,,,nan
46,939,,,nan,
46,939,nan,,,
47,949,,nan,,
,47,,,,nan
47,959,,,nan,
47,959,nan,,,
,48,,,,nan
48,979,,,nan,
48,979,nan,,,
49,999,,nan,,
,49,,,,nan
49,999,,,nan,
49,999,nan,,,
,50,,,,nan
50,1019,,,nan,
50,1019,nan,,,
,51,,,,nan
51,1039,,,nan,
51,1039,nan,,,
52,1049,,nan,,
,52,,,,nan
52,1059,,,nan,
52,1059,nan,,,
,53,,,,nan
53,1079,,,nan,
53,1079,nan,,,
54,1099,,nan,,
,54,,,,nan
54,1099,,,nan,
54,1099,nan,,,
,55,,,,nan
55,1119,,,nan,
55,1119,nan,,,
,56,,,,nan
56,1139,,,nan,
56,1139,nan,,,
57,1149,,nan,,
,57,,,,nan
57,1159,,,nan,
57,1159,nan,,,
,58,,,,nan
58,1179,,,nan,
58,1179,nan,,,
59,1199,,nan,,
,59,,,,nan
59,1199,,,nan,
59,1199,nan,,,
,60,,,,nan
60,1219,,,nan,
60,1219,nan,,,
,61,,,,nan
61,1239,,,nan,
61,1239,nan,,,
62,1249,,nan,,
,62,,,,nan
62,1259,,,nan,
62,1259,nan,,,
,63,,,,nan
63,1279,,,nan,
63,1279,nan,,,
64,1299,,nan,,
,64,,,,nan
64,1299,,,nan,
64,1299,nan,,,
,65,,,,nan
65,1319,,,nan,
65,1319,nan,,,
,66,,,,nan
66,1339,,,nan,
66,1339,nan,,,
67,1349,,nan,,
,67,,,,nan
67,1359,,,nan,
67,1359,nan,,,
,68,,,,nan
68,1379,,,nan,
68,1379,nan,,,
69,1399,,nan,,
,69,,,,nan
69,1399,,,nan,
69,1399,nan,,,
,70,,,,nan
70,1419,,,nan,
70,1419,nan,,,
,71,,,,nan
71,1439,,,nan,
71,1439,nan,,,
72,1449,,nan,,
,72,,,,nan
72,1459,,,nan,
72,1459,nan,,,
,73,,,,nan
73,1479,,,nan,
73,1479,nan,,,
74,1499,,nan,,
,74,,,,nan
74,1499,,,nan,
74,1499,nan,,,
,75,,,,nan
75,1519,,,nan,
75,1519,nan,,,
,76,,,,nan
76,1539,,,nan,
76,1539,nan,,,
77,1549,,nan,,
