epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,1276.423583984375
0,19,,,1276.423583984375,
0,19,-402.47021484375,,,
,1,,,,20406.189453125
1,39,,,20406.189453125,
1,39,-4133.85546875,,,
2,49,,-17260.46484375,,
,2,,,,160173.65625
2,59,,,160173.65625,
2,59,-33415.86328125,,,
,3,,,,888747.5625
3,79,,,888747.625,
3,79,-359344.09375,,,
4,99,,-1065487.75,,
,4,,,,-701284.0
4,99,,,-701284.0,
4,99,-1227486.25,,,
,5,,,,17596148.0
5,119,,,17596148.0,
5,119,-7617845.0,,,
,6,,,,55545112.0
6,139,,,55545112.0,
6,139,-20220094.0,,,
7,149,,-10465182.0,,
,7,,,,126495312.0
7,159,,,126495312.0,
7,159,-60027200.0,,,
,8,,,,261762720.0
8,179,,,261762720.0,
8,179,-106213016.0,,,
9,199,,-756737024.0,,
,9,,,,455522048.0
9,199,,,455522048.0,
9,199,-173374720.0,,,
,10,,,,882196608.0
10,219,,,882196672.0,
10,219,-368058368.0,,,
,11,,,,-206848144.0
11,239,,,-206848144.0,
11,239,-1027522816.0,,,
12,249,,-766659008.0,,
,12,,,,3524274688.0
12,259,,,3524274688.0,
12,259,-1906094720.0,,,
,13,,,,5874839040.0
13,279,,,5874839040.0,
13,279,-2805317120.0,,,
14,299,,-1140757888.0,,
,14,,,,10195525632.0
14,299,,,10195525632.0,
14,299,-4045353472.0,,,
,15,,,,17397106688.0
15,319,,,17397106688.0,
15,319,-11856316416.0,,,
,16,,,,26072387584.0
16,339,,,26072389632.0,
16,339,-15209391104.0,,,
17,349,,-4863892480.0,,
,17,,,,9943737344.0
17,359,,,9943737344.0,
17,359,-18534979584.0,,,
,18,,,,-9579227136.0
18,379,,,-9579227136.0,
18,379,-44526702592.0,,,
19,399,,-29146226688.0,,
,19,,,,67538481152.0
19,399,,,67538481152.0,
19,399,-42096291840.0,,,
,20,,,,122431889408.0
20,419,,,122431889408.0,
20,419,-48735875072.0,,,
,21,,,,156075294720.0
21,439,,,156075294720.0,
21,439,-107686608896.0,,,
22,449,,-295565623296.0,,
,22,,,,220824698880.0
22,459,,,220824698880.0,
22,459,-150363586560.0,,,
,23,,,,286298505216.0
23,479,,,286298505216.0,
23,479,-189489053696.0,,,
24,499,,-1060552966144.0,,
,24,,,,413837754368.0
24,499,,,413837754368.0,
24,499,-305822859264.0,,,
,25,,,,127473377280.0
25,519,,,127473385472.0,
25,519,-481156759552.0,,,
,26,,,,665772556288.0
26,539,,,665772556288.0,
26,539,-519809073152.0,,,
27,549,,16125658112.0,,
,27,,,,260779573248.0
27,559,,,260779573248.0,
27,559,-532897136640.0,,,
,28,,,,362687528960.0
28,579,,,362687561728.0,
28,579,-1089747091456.0,,,
29,599,,-1594694828032.0,,
,29,,,,1450629398528.0
29,599,,,1450629398528.0,
29,599,-1110246948864.0,,,
,30,,,,605379100672.0
30,619,,,605379100672.0,
30,619,-1207860723712.0,,,
,31,,,,2390243409920.0
31,639,,,2390243409920.0,
31,639,-2234779172864.0,,,
32,649,,-4524333858816.0,,
,32,,,,3514532102144.0
32,659,,,3514532102144.0,
32,659,-2478340571136.0,,,
,33,,,,4391890845696.0
33,679,,,4391890845696.0,
33,679,-2646537666560.0,,,
34,699,,-692147716096.0,,
,34,,,,4559856992256.0
34,699,,,4559856992256.0,
34,699,-2713972899840.0,,,
