Z N C1 C2 C3 C4 C5 C6 C7 C8 C9 E1 E2 E3 E4 E5 E6 E7 E8 E9
2 2 0.001417 0.0002235 -2.185e-05 0.0 0.0 0.0 0.0 0.0 0.0 463300.0 553200.0 888700.0 0.0 0.0 0.0 0.0 0.0 0.0
3 3 0.0001451 0.005789 1.889e-05 0.0 0.0 0.0 0.0 0.0 0.0 852900.0 1056000.0 11700000.0 0.0 0.0 0.0 0.0 0.0 0.0
4 4 0.0006396 0.01257 -0.0001224 0.0 0.0 0.0 0.0 0.0 0.0 1482000.0 1879000.0 3556000.0 0.0 0.0 0.0 0.0 0.0 0.0
5 5 0.0006163 0.02225 0.0005706 0.0 0.0 0.0 0.0 0.0 0.0 2194000.0 2861000.0 4511000.0 0.0 0.0 0.0 0.0 0.0 0.0
6 6 0.001426 0.03046 0.0008373 0.0 0.0 0.0 0.0 0.0 0.0 3116000.0 4075000.0 5749000.0 0.0 0.0 0.0 0.0 0.0 0.0
7 7 0.002801 0.04362 0.001117 0.0 0.0 0.0 0.0 0.0 0.0 4198000.0 5516000.0 8050000.0 0.0 0.0 0.0 0.0 0.0 0.0
8 8 0.004925 0.05837 0.001359 0.0 0.0 0.0 0.0 0.0 0.0 5440000.0 7170000.0 11520000.0 0.0 0.0 0.0 0.0 0.0 0.0
9 9 0.007914 0.07387 0.001699 0.0 0.0 0.0 0.0 0.0 0.0 6843000.0 9033000.0 14200000.0 0.0 0.0 0.0 0.0 0.0 0.0
10 10 0.01183 0.09011 0.001828 0.0 0.0 0.0 0.0 0.0 0.0 8405000.0 11110000.0 18120000.0 0.0 0.0 0.0 0.0 0.0 0.0
11 11 0.01676 0.09873 0.009214 0.0 0.0 0.0 0.0 0.0 0.0 10130000.0 13250000.0 17210000.0 0.0 0.0 0.0 0.0 0.0 0.0
12 12 0.02262 0.1216 0.002531 0.0 0.0 0.0 0.0 0.0 0.0 12010000.0 15880000.0 24730000.0 0.0 0.0 0.0 0.0 0.0 0.0
13 13 0.03004 0.1306 0.007786 0.0 0.0 0.0 0.0 0.0 0.0 14060000.0 18500000.0 24310000.0 0.0 0.0 0.0 0.0 0.0 0.0
14 14 0.03846 0.1491 0.002779 0.0 0.0 0.0 0.0 0.0 0.0 16270000.0 21540000.0 38270000.0 0.0 0.0 0.0 0.0 0.0 0.0
15 15 0.04795 0.1559 0.009546 0.0 0.0 0.0 0.0 0.0 0.0 18630000.0 24500000.0 32120000.0 0.0 0.0 0.0 0.0 0.0 0.0
16 16 0.06659 0.1762 -0.006522 0.0 0.0 0.0 0.0 0.0 0.0 21220000.0 28970000.0 57860000.0 0.0 0.0 0.0 0.0 0.0 0.0
17 17 0.07078 0.1881 0.002828 0.0 0.0 0.0 0.0 0.0 0.0 23860000.0 31620000.0 66190000.0 0.0 0.0 0.0 0.0 0.0 0.0
18 18 0.09249 0.2011 -0.007153 0.0 0.0 0.0 0.0 0.0 0.0 26770000.0 36530000.0 47290000.0 0.0 0.0 0.0 0.0 0.0 0.0
19 19 0.09767 0.2109 0.003459 0.0 0.0 0.0 0.0 0.0 0.0 29730000.0 39360000.0 59350000.0 0.0 0.0 0.0 0.0 0.0 0.0
20 20 0.121 0.2224 -0.006832 0.0 0.0 0.0 0.0 0.0 0.0 32960000.0 44850000.0 63120000.0 0.0 0.0 0.0 0.0 0.0 0.0
21 21 0.1267 0.231 0.003729 0.0 0.0 0.0 0.0 0.0 0.0 36250000.0 47960000.0 58220000.0 0.0 0.0 0.0 0.0 0.0 0.0
22 22 0.1502 0.2398 -0.005507 0.0 0.0 0.0 0.0 0.0 0.0 39820000.0 53990000.0 84720000.0 0.0 0.0 0.0 0.0 0.0 0.0
23 23 0.1553 0.2493 0.003204 0.0 0.0 0.0 0.0 0.0 0.0 43440000.0 57530000.0 104200000.0 0.0 0.0 0.0 0.0 0.0 0.0
24 24 0.1869 0.2586 -0.01771 0.0 0.0 0.0 0.0 0.0 0.0 47480000.0 66100000.0 107900000.0 0.0 0.0 0.0 0.0 0.0 0.0
25 25 0.1708 0.2665 0.008877 0.0 0.0 0.0 0.0 0.0 0.0 51140000.0 66580000.0 96600000.0 0.0 0.0 0.0 0.0 0.0 0.0
26 26 0.1984 0.2676 -0.002293 0.0 0.0 0.0 0.0 0.0 0.0 55520000.0 74750000.0 123600000.0 0.0 0.0 0.0 0.0 0.0 0.0
27 27 0.1911 0.2768 0.01122 0.0 0.0 0.0 0.0 0.0 0.0 59660000.0 77650000.0 141800000.0 0.0 0.0 0.0 0.0 0.0 0.0
28 28 0.224 0.2794 -0.01172 0.0 0.0 0.0 0.0 0.0 0.0 64520000.0 88550000.0 150800000.0 0.0 0.0 0.0 0.0 0.0 0.0
29 29 0.2223 0.282 -0.001013 0.0 0.0 0.0 0.0 0.0 0.0 69140000.0 92780000.0 148200000.0 0.0 0.0 0.0 0.0 0.0 0.0
30 30 0.2321 0.3195 0.009645 0.0 0.0 0.0 0.0 0.0 0.0 73720000.0 97110000.0 158500000.0 0.0 0.0 0.0 0.0 0.0 0.0
36 36 0.2678 0.3433 -0.002951 0.0 0.0 0.0 0.0 0.0 0.0 106700000.0 142300000.0 200500000.0 0.0 0.0 0.0 0.0 0.0 0.0
42 42 0.2776 0.36 0.001297 0.0 0.0 0.0 0.0 0.0 0.0 145700000.0 192400000.0 416500000.0 0.0 0.0 0.0 0.0 0.0 0.0
54 54 0.3133 0.3709 -0.01073 0.0 0.0 0.0 0.0 0.0 0.0 244600000.0 333800000.0 451000000.0 0.0 0.0 0.0 0.0 0.0 0.0
3 2 2.941e-05 6.068e-05 -7.753e-07 0.0 0.0 0.0 0.0 0.0 0.0 634500.0 702400.0 827100.0 0.0 0.0 0.0 0.0 0.0 0.0
4 3 0.0001942 0.001485 1.32e-05 0.0 0.0 0.0 0.0 0.0 0.0 1185000.0 1377000.0 1904000.0 0.0 0.0 0.0 0.0 0.0 0.0
5 4 0.0009375 0.007606 -0.0002683 0.0 0.0 0.0 0.0 0.0 0.0 1913000.0 2319000.0 2732000.0 0.0 0.0 0.0 0.0 0.0 0.0
6 5 0.002646 0.01762 -0.0007843 0.0 0.0 0.0 0.0 0.0 0.0 2804000.0 3485000.0 4324000.0 0.0 0.0 0.0 0.0 0.0 0.0
7 6 0.005761 0.03434 -0.00166 0.0 0.0 0.0 0.0 0.0 0.0 3860000.0 4883000.0 6259000.0 0.0 0.0 0.0 0.0 0.0 0.0
8 7 0.06135 0.0001968 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6113000.0 36560000.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9 8 0.01006 0.06743 0.01034 0.0 0.0 0.0 0.0 0.0 0.0 6330000.0 7859000.0 9755000.0 0.0 0.0 0.0 0.0 0.0 0.0
10 9 0.01552 0.09008 0.01182 0.0 0.0 0.0 0.0 0.0 0.0 7845000.0 9803000.0 12090000.0 0.0 0.0 0.0 0.0 0.0 0.0
11 10 0.02228 0.1133 0.01296 0.0 0.0 0.0 0.0 0.0 0.0 9521000.0 11950000.0 15020000.0 0.0 0.0 0.0 0.0 0.0 0.0
12 11 0.03067 0.1375 0.01347 0.0 0.0 0.0 0.0 0.0 0.0 11360000.0 14310000.0 17620000.0 0.0 0.0 0.0 0.0 0.0 0.0
13 12 0.04093 0.1618 0.01332 0.0 0.0 0.0 0.0 0.0 0.0 13360000.0 16890000.0 20910000.0 0.0 0.0 0.0 0.0 0.0 0.0
14 13 0.05318 0.1874 0.01227 0.0007173 0.0 0.0 0.0 0.0 0.0 15520000.0 19690000.0 25320000.0 269600000.0 0.0 0.0 0.0 0.0 0.0
15 14 0.06756 0.2122 0.01292 0.0 0.0 0.0 0.0 0.0 0.0 17840000.0 22700000.0 28670000.0 0.0 0.0 0.0 0.0 0.0 0.0
16 15 0.0841 0.2381 0.01065 0.001049 0.0 0.0 0.0 0.0 0.0 20320000.0 25920000.0 32060000.0 201600000.0 0.0 0.0 0.0 0.0 0.0
17 16 0.1172 0.6677 -0.4111 0.0 0.0 0.0 0.0 0.0 0.0 23020000.0 34700000.0 38170000.0 0.0 0.0 0.0 0.0 0.0 0.0
18 17 0.122 0.2795 0.01569 0.0 0.0 0.0 0.0 0.0 0.0 25760000.0 32880000.0 43600000.0 0.0 0.0 0.0 0.0 0.0 0.0
19 18 0.1598 0.3107 -0.01177 0.0 0.0 0.0 0.0 0.0 0.0 28790000.0 38220000.0 53080000.0 0.0 0.0 0.0 0.0 0.0 0.0
20 19 0.1659 0.3186 0.01801 0.0 0.0 0.0 0.0 0.0 0.0 31860000.0 40850000.0 50680000.0 0.0 0.0 0.0 0.0 0.0 0.0
21 20 0.2046 0.6275 -0.2876 0.0 0.0 0.0 0.0 0.0 0.0 35210000.0 51020000.0 57410000.0 0.0 0.0 0.0 0.0 0.0 0.0
22 21 0.2099 0.3706 0.001402 0.0 0.0 0.0 0.0 0.0 0.0 38610000.0 50000000.0 334100000.0 0.0 0.0 0.0 0.0 0.0 0.0
