Z N pA pB pT0 pT1 pC pT2
9 8 3.128e-10 0.6712 722.7 55870000.0 0.0 0.0
10 9 3.415e-10 0.6706 955.2 67780000.0 0.0 0.0
11 10 3.879e-10 0.6718 1133.0 80080000.0 0.0 0.0
12 11 4.214e-10 0.6713 1396.0 94330000.0 0.0 0.0
13 12 4.578e-10 0.6707 1673.0 109600000.0 0.0 0.0
14 13 4.87e-10 0.6697 2026.0 126500000.0 0.0 0.0
15 14 5.52e-10 0.6724 2146.0 142300000.0 0.0 0.0
16 15 5.546e-10 0.6692 2754.0 163300000.0 0.0 0.0
17 16 6.11e-10 0.6712 2956.0 181000000.0 0.0 0.0
18 17 6.405e-10 0.6698 3425.0 203700000.0 0.0 0.0
19 18 7.022e-10 0.6721 3602.0 223400000.0 0.0 0.0
20 19 7.045e-10 0.6693 4391.0 250000000.0 0.0 0.0
21 20 8.052e-10 0.675 4198.0 266900000.0 0.0 0.0
22 21 8.152e-10 0.6728 4937.0 295000000.0 0.0 0.0
23 22 8.373e-10 0.6711 5622.0 323200000.0 0.0 0.0
24 23 8.771e-10 0.6722 6118.0 347800000.0 0.0 0.0
25 24 9.127e-10 0.6717 6691.0 377500000.0 0.0 0.0
26 25 9.983e-10 0.6754 6651.0 401700000.0 0.0 0.0
27 26 1.017e-09 0.6738 7469.0 434700000.0 0.0 0.0
28 27 1.063e-09 0.6744 7979.0 465300000.0 0.0 0.0
29 28 1.078e-09 0.6736 8924.0 498800000.0 0.0 0.0
30 29 1.142e-09 0.675 9193.0 530800000.0 0.0 0.0
36 35 1.245e-09 0.6716 16010.0 766400000.0 0.0 0.0
42 41 1.536e-09 0.6764 20120.0 1008000000.0 0.0 0.0
54 53 2.278e-09 0.6872 26800.0 1560000000.0 0.0 0.0
3 1 8.7e-12 0.364 147.0 7153000.0 0.1508 715400.0
4 2 1.861e-11 0.4052 536.5 22540000.0 0.0 0.0
5 3 3.251e-11 0.4558 916.4 17490000.0 0.0 0.0
6 4 4.798e-11 0.4834 1355.0 18720000.0 0.0 0.0
7 5 6.245e-11 0.4985 1957.0 21770000.0 0.0 0.0
8 6 8.193e-11 0.5165 2392.0 24870000.0 0.0 0.0
9 7 9.958e-11 0.5274 3012.0 28960000.0 0.0 0.0
10 8 1.186e-10 0.5354 3647.0 33650000.0 0.0 0.0
11 9 1.393e-10 0.5433 4258.0 38720000.0 0.0 0.0
12 10 1.602e-10 0.5492 4944.0 44340000.0 0.0 0.0
13 11 1.761e-10 0.5514 5962.0 50810000.0 0.0 0.0
14 12 2.017e-10 0.5588 6494.0 56930000.0 0.0 0.0
15 13 2.19e-10 0.5607 7591.0 63960000.0 0.0 0.0
16 14 2.362e-10 0.5615 8776.0 72080000.0 0.0 0.0
17 15 2.594e-10 0.5663 9623.0 79520000.0 0.0 0.0
18 16 2.812e-10 0.5686 10630.0 87790000.0 0.0 0.0
19 17 3.046e-10 0.5712 11600.0 96390000.0 0.0 0.0
20 18 3.25e-10 0.5743 12760.0 105100000.0 0.0 0.0
21 19 3.366e-10 0.5721 14730.0 116300000.0 0.0 0.0
22 20 3.658e-10 0.5767 15400.0 125000000.0 0.0 0.0
23 21 3.815e-10 0.5761 17180.0 136800000.0 0.0 0.0
24 22 3.963e-10 0.576 19140.0 147900000.0 0.0 0.0
25 23 4.386e-10 0.5838 18880.0 155600000.0 0.0 0.0
26 24 4.458e-10 0.5802 21550.0 170100000.0 0.0 0.0
27 25 4.629e-10 0.5805 23520.0 183100000.0 0.0 0.0
28 26 4.901e-10 0.5836 24600.0 193700000.0 0.0 0.0
29 27 5.041e-10 0.5828 27010.0 208200000.0 0.0 0.0
30 28 5.258e-10 0.5832 28820.0 222100000.0 0.0 0.0
36 34 6.3e-10 0.5851 43460.0 314000000.0 0.0 0.0
42 40 8.161e-10 0.5972 50820.0 405400000.0 0.0 0.0
54 52 1.082e-09 0.6049 83350.0 639100000.0 0.0 0.0
4 1 1.793e-10 0.7669 0.8938 2138000.0 0.031 13820.0
5 2 3.417e-10 0.7512 3.604 2821000.0 0.0351 12950000.0
6 3 1.12e-10 0.6737 111.5 5938000.0 0.0 0.0
7 4 1.533e-10 0.6682 182.3 7751000.0 0.0 0.0
8 5 1.724e-10 0.6556 337.2 10300000.0 0.0 0.0
9 6 2.244e-10 0.6574 414.7 12680000.0 0.0 0.0
10 7 2.755e-10 0.6586 510.2 15350000.0 0.0 0.0
11 8 3.171e-10 0.6576 652.6 18480000.0 0.0 0.0
12 9 3.445e-10 0.6553 869.3 21960000.0 0.0 0.0
13 10 3.916e-10 0.6565 1025.0 25440000.0 0.0 0.0
14 11 4.633e-10 0.6602 1088.0 28960000.0 0.0 0.0
15 12 4.972e-10 0.6581 1329.0 33460000.0 0.0 0.0
16 13 5.511e-10 0.6598 1492.0 37550000.0 0.0 0.0
17 14 6.038e-10 0.6611 1670.0 42130000.0 0.0 0.0
18 15 6.557e-10 0.6624 1868.0 46930000.0 0.0 0.0
19 16 7.052e-10 0.6613 2094.0 52460000.0 0.0 0.0
20 17 7.848e-10 0.6644 2173.0 57490000.0 0.0 0.0
21 18 8.463e-10 0.6653 2355.0 63040000.0 0.0 0.0
22 19 9.04e-10 0.6666 2565.0 68640000.0 0.0 0.0
23 20 9.483e-10 0.6655 2859.0 75310000.0 0.0 0.0
24 21 9.718e-10 0.6643 3285.0 82210000.0 0.0 0.0
25 22 1.065e-09 0.6668 3327.0 88270000.0 0.0 0.0
26 23 1.186e-09 0.6713 3253.0 93920000.0 0.0 0.0
27 24 1.181e-09 0.6681 3839.0 102300000.0 0.0 0.0
28 25 1.259e-09 0.6699 3991.0 109400000.0 0.0 0.0
29 26 1.249e-09 0.6668 4697.0 118100000.0 0.0 0.0
30 27 1.381e-09 0.6705 4543.0 124900000.0 0.0 0.0
36 33 1.674e-09 0.6723 6836.0 177600000.0 0.0 0.0
42 39 1.926e-09 0.6717 9982.0 240800000.0 0.0 0.0
54 51 2.883e-09 0.6818 13550.0 381100000.0 0.0 0.0
5 1 1.998e-09 0.8277 0.01269 1016000.0 0.0901 30580.0
6 2 2.067e-09 0.8012 0.1643 2172000.0 0.0427 63410.0
7 3 7.923e-10 0.7768 3.75 3468000.0 0.0223 72060.0
8 4 3.955e-09 0.7813 0.6821 5076000.0 0.0 0.0
9 5 3.298e-09 0.7702 2.103 6441000.0 0.0 0.0
10 6 2.557e-09 0.7601 6.293 8091000.0 0.0 0.0
11 7 1.654e-09 0.7508 22.76 9950000.0 0.0 0.0
12 8 3.989e-10 1.0231 26.01 12270000.0 0.0 0.0
13 9 1.578e-09 0.7394 61.57 14270000.0 0.0 0.0
14 10 1.851e-09 0.7384 69.06 16440000.0 0.0 0.0
15 11 1.543e-09 0.7315 133.0 19260000.0 0.0 0.0
16 12 1.74e-09 0.7303 149.4 21930000.0 0.0 0.0
17 13 2.027e-09 0.7307 154.1 24700000.0 0.0 0.0
18 14 2.165e-09 0.7307 180.1 27530000.0 0.0 0.0
19 15 2.224e-09 0.7299 221.2 30690000.0 0.0 0.0
20 16 2.421e-09 0.7278 243.8 34240000.0 0.0 0.0
21 17 2.253e-09 0.7253 342.5 38020000.0 0.0 0.0
22 18 2.463e-09 0.7249 363.8 41640000.0 0.0 0.0
23 19 2.66e-09 0.7253 389.7 45380000.0 0.0 0.0
24 20 2.747e-09 0.7251 443.6 49210000.0 0.0 0.0
25 21 2.589e-09 0.7216 588.7 54000000.0 0.0 0.0
26 22 3.322e-09 0.7264 456.3 57460000.0 0.0 0.0
27 23 3.885e-09 0.7301 410.0 61010000.0 0.0 0.0
28 24 3.531e-09 0.726 565.0 66270000.0 0.0 0.0
29 25 3.862e-09 0.7272 563.1 71000000.0 0.0 0.0
30 26 4.233e-09 0.7283 556.8 75450000.0 0.0 0.0
36 32 4.645e-09 0.7261 1018.0 108300000.0 0.0 0.0
42 38 6.974e-09 0.7318 962.2 143800000.0 0.0 0.0
54 50 1.052e-08 0.7363 1319.0 232100000.0 0.0 0.0
6 1 2.995e-09 0.7849 0.00667 1943000.0 0.1597 49550.0
7 2 2.41e-09 0.7948 0.1231 3016000.0 0.0774 101600.0
8 3 2.501e-09 0.7844 0.5235 4470000.0 0.0447 164200.0
9 4 2.236e-09 0.7725 1.828 5982000.0 0.0319 252900.0
10 5 1.127e-09 0.7556 13.11 8047000.0 0.025 277100.0
11 6 4.04e-09 0.7665 2.908 10430000.0 0.0 0.0
12 7 3.859e-09 0.7579 5.587 12350000.0 0.0 0.0
13 8 2.284e-09 0.748 21.78 14600000.0 0.0 0.0
14 9 1.688e-09 0.739 55.49 17160000.0 0.0 0.0
15 10 1.948e-09 0.7375 63.72 19470000.0 0.0 0.0
16 11 1.702e-09 0.7301 113.8 22530000.0 0.0 0.0
17 12 1.655e-09 0.7262 163.6 25430000.0 0.0 0.0
18 13 1.78e-09 0.7252 193.3 28370000.0 0.0 0.0
19 14 2.079e-09 0.7245 195.4 31560000.0 0.0 0.0
20 15 2.019e-09 0.7215 264.4 35060000.0 0.0 0.0
21 16 2.055e-09 0.72 323.6 38600000.0 0.0 0.0
22 17 1.959e-09 0.7169 438.1 42580000.0 0.0 0.0
23 18 2.131e-09 0.7166 467.9 46370000.0 0.0 0.0
24 19 2.302e-09 0.7167 500.2 50300000.0 0.0 0.0
25 20 2.45e-09 0.716 544.2 54560000.0 0.0 0.0
26 21 2.199e-09 0.7118 781.0 59460000.0 0.0 0.0
27 22 2.654e-09 0.7148 672.6 63510000.0 0.0 0.0
28 23 2.66e-09 0.715 786.5 67610000.0 0.0 0.0
29 24 2.679e-09 0.7128 909.4 73000000.0 0.0 0.0
30 25 2.916e-09 0.715 911.3 77260000.0 0.0 0.0
36 31 3.422e-09 0.7122 1533.0 110700000.0 0.0 0.0
42 37 4.461e-09 0.7147 1874.0 148100000.0 0.0 0.0
54 49 5.917e-09 0.7162 3263.0 239000000.0 0.0 0.0
7 1 6.387e-10 0.7308 0.09467 2954000.0 0.244 67390.0
8 2 2.096e-09 0.7668 0.1602 4377000.0 0.107 139200.0
9 3 1.468e-09 0.7652 1.284 6039000.0 0.0664 223500.0
10 4 1.861e-09 0.7593 2.504 8037000.0 0.0406 325500.0
11 5 1.077e-09 0.7469 14.3 10180000.0 0.0289 359300.0
12 6 9.133e-10 0.7353 36.74 12630000.0 0.0211 404900.0
13 7 4.1e-09 0.7507 5.134 16030000.0 0.0 0.0
14 8 2.1e-09 0.7401 25.23 18420000.0 0.0 0.0
15 9 1.763e-09 0.731 52.34 21170000.0 0.0 0.0
16 10 1.518e-09 0.7246 98.45 23900000.0 0.0 0.0
17 11 1.44e-09 0.7187 152.2 27120000.0 0.0 0.0
18 12 1.464e-09 0.7144 204.0 30250000.0 0.0 0.0
19 13 1.461e-09 0.7108 273.4 33710000.0 0.0 0.0
20 14 1.532e-09 0.7089 330.5 37130000.0 0.0 0.0
21 15 1.432e-09 0.7048 476.1 41020000.0 0.0 0.0
22 16 1.458e-09 0.7005 587.5 45260000.0 0.0 0.0
23 17 1.532e-09 0.7008 669.8 49080000.0 0.0 0.0
24 18 1.567e-09 0.6986 795.7 53400000.0 0.0 0.0
25 19 1.642e-09 0.6982 894.8 57670000.0 0.0 0.0
26 20 1.659e-09 0.6958 1061.0 62530000.0 0.0 0.0
27 21 1.672e-09 0.6935 1254.0 67630000.0 0.0 0.0
28 22 1.744e-09 0.6928 1385.0 72450000.0 0.0 0.0
29 23 2.128e-09 0.6988 1157.0 75890000.0 0.0 0.0
30 24 1.805e-09 0.6906 1794.0 82930000.0 0.0 0.0
36 30 2.33e-09 0.6908 2631.0 117100000.0 0.0 0.0
42 36 2.791e-09 0.6893 3801.0 158300000.0 0.0 0.0
54 48 3.626e-09 0.6904 6985.0 254200000.0 0.0 0.0
8 1 6.622e-11 0.6109 4.136 4214000.0 0.4093 87700.0
9 2 5.595e-10 0.7083 1.462 6258000.0 0.1645 188000.0
10 3 8.321e-10 0.7254 3.332 8696000.0 0.0921 304400.0
11 4 1.087e-09 0.7284 6.132 10880000.0 0.0629 455900.0
12 5 7.515e-10 0.7203 25.82 13550000.0 0.0436 569100.0
13 6 7.728e-10 0.7152 48.18 16720000.0 0.0271 720900.0
14 7 7.532e-10 0.7072 88.6 19970000.0 0.0185 694900.0
15 8 1.57e-09 0.719 41.77 24380000.0 0.0 0.0
16 9 1.137e-09 0.708 109.9 27450000.0 0.0 0.0
17 10 1.146e-09 0.7033 159.3 30340000.0 0.0 0.0
18 11 1.022e-09 0.6948 274.7 33910000.0 0.0 0.0
19 12 9.722e-10 0.6898 408.7 37530000.0 0.0 0.0
20 13 9.575e-10 0.6843 563.4 41500000.0 0.0 0.0
21 14 1.011e-09 0.6827 672.6 45180000.0 0.0 0.0
22 15 1.043e-09 0.6798 822.6 49470000.0 0.0 0.0
23 16 1.049e-09 0.6763 1032.0 53810000.0 0.0 0.0
24 17 1.053e-09 0.6736 1278.0 58570000.0 0.0 0.0
25 18 1.089e-09 0.6713 1488.0 63270000.0 0.0 0.0
26 19 1.135e-09 0.6705 1691.0 68090000.0 0.0 0.0
27 20 1.177e-09 0.6687 1921.0 73310000.0 0.0 0.0
28 21 1.172e-09 0.6652 2320.0 79260000.0 0.0 0.0
29 22 1.295e-09 0.6672 2319.0 83880000.0 0.0 0.0
30 23 1.25e-09 0.664 2899.0 89920000.0 0.0 0.0
36 29 1.497e-09 0.6596 4992.0 127700000.0 0.0 0.0
42 35 1.748e-09 0.6593 7627.0 170500000.0 0.0 0.0
54 47 2.624e-09 0.6641 11340.0 269900000.0 0.0 0.0
9 1 3.769e-11 0.5559 10.91 6413000.0 0.4534 109500.0
10 2 1.773e-10 0.6434 9.924 8878000.0 0.2205 229200.0
11 3 3.192e-10 0.6726 16.4 12630000.0 0.1232 372500.0
12 4 4.031e-10 0.6803 32.05 16260000.0 0.0764 539900.0
13 5 4.438e-10 0.6789 62.04 19400000.0 0.0571 741000.0
14 6 4.615e-10 0.6753 114.3 23770000.0 0.0356 859500.0
15 7 5.508e-10 0.6748 150.1 27720000.0 0.0213 1109000.0
16 8 8.773e-10 0.6853 111.5 33860000.0 0.0 0.0
17 9 7.522e-10 0.6767 221.3 36780000.0 0.0 0.0
18 10 6.805e-10 0.6667 386.6 40620000.0 0.0 0.0
19 11 6.633e-10 0.6599 573.5 44470000.0 0.0 0.0
20 12 6.699e-10 0.6546 776.1 48610000.0 0.0 0.0
21 13 6.581e-10 0.6494 1072.0 52920000.0 0.0 0.0
22 14 6.854e-10 0.6464 1313.0 57330000.0 0.0 0.0
23 15 7.14e-10 0.6441 1579.0 61950000.0 0.0 0.0
24 16 6.832e-10 0.6367 2162.0 67700000.0 0.0 0.0
25 17 7.236e-10 0.6359 2448.0 72640000.0 0.0 0.0
26 18 7.556e-10 0.6351 2800.0 77420000.0 0.0 0.0
27 19 7.582e-10 0.6307 3402.0 84060000.0 0.0 0.0
28 20 7.889e-10 0.6292 3842.0 89560000.0 0.0 0.0
29 21 8.107e-10 0.629 4369.0 95030000.0 0.0 0.0
30 22 8.533e-10 0.6278 4759.0 101100000.0 0.0 0.0
36 28 1.033e-09 0.6234 8342.0 141700000.0 0.0 0.0
42 34 1.256e-09 0.6232 12200.0 188200000.0 0.0 0.0
54 46 1.688e-09 0.6241 22450.0 298600000.0 0.0 0.0
10 1 1.295e-11 0.3556 67.39 7563000.0 0.6472 159800.0
11 2 5.176e-11 0.4811 77.51 13510000.0 0.3467 314000.0
12 3 1.249e-10 0.56 77.48 20150000.0 0.1917 513900.0
13 4 2.011e-10 0.5984 101.3 26350000.0 0.1072 759100.0
14 5 2.468e-10 0.6113 164.9 32310000.0 0.0636 983700.0
15 6 2.981e-10 0.6173 237.2 38070000.0 0.0361 1306000.0
16 7 3.384e-10 0.6175 338.0 43470000.0 0.0225 1672000.0
17 8 4.354e-10 0.6262 360.4 52510000.0 0.0 0.0
18 9 4.228e-10 0.6181 588.0 55350000.0 0.0 0.0
19 10 4.044e-10 0.6099 934.7 59220000.0 0.0 0.0
20 11 3.992e-10 0.6025 1362.0 63730000.0 0.0 0.0
21 12 4.07e-10 0.5968 1819.0 68640000.0 0.0 0.0
22 13 4.281e-10 0.5954 2234.0 72700000.0 0.0 0.0
23 14 4.227e-10 0.5885 3007.0 78630000.0 0.0 0.0
24 15 4.341e-10 0.5846 3714.0 84520000.0 0.0 0.0
25 16 4.71e-10 0.5863 4081.0 88740000.0 0.0 0.0
26 17 4.791e-10 0.5823 4967.0 95350000.0 0.0 0.0
27 18 5.045e-10 0.5808 5617.0 101500000.0 0.0 0.0
28 19 5.081e-10 0.5766 6786.0 108800000.0 0.0 0.0
29 20 5.402e-10 0.5769 7375.0 115000000.0 0.0 0.0
30 21 5.284e-10 0.5705 9182.0 123900000.0 0.0 0.0
36 27 6.842e-10 0.5709 14890.0 168000000.0 0.0 0.0
42 33 8.282e-10 0.5708 22490.0 219300000.0 0.0 0.0
54 45 1.109e-09 0.5712 42850.0 344300000.0 0.0 0.0
11 1 5.095e-12 0.0 354.6 2310000.0 0.9395 429700.0
12 2 1.345e-11 0.1074 787.7 79250000.0 0.4631 502700.0
13 3 3.107e-11 0.2854 820.7 81170000.0 0.2631 769300.0
14 4 5.134e-11 0.3678 1009.0 85140000.0 0.1646 1084000.0
15 5 7.55e-11 0.4244 1206.0 86030000.0 0.1008 1498000.0
16 6 9.565e-11 0.4517 1599.0 92520000.0 0.0612 1986000.0
17 7 1.144e-10 0.4665 2108.0 98950000.0 0.0362 2397000.0
18 8 1.313e-10 0.4722 2767.0 106600000.0 0.0208 2725000.0
19 9 1.59e-10 0.4867 3096.0 119200000.0 0.0 0.0
20 10 1.622e-10 0.4804 4449.0 120400000.0 0.0 0.0
21 11 1.647e-10 0.4734 6182.0 125300000.0 0.0 0.0
22 12 1.73e-10 0.4687 7898.0 130200000.0 0.0 0.0
23 13 1.8e-10 0.465 9950.0 135700000.0 0.0 0.0
24 14 1.868e-10 0.4603 12330.0 143200000.0 0.0 0.0
25 15 1.924e-10 0.4562 15140.0 150900000.0 0.0 0.0
26 16 2.034e-10 0.4548 17510.0 157900000.0 0.0 0.0
27 17 2.125e-10 0.4518 20420.0 166700000.0 0.0 0.0
28 18 2.208e-10 0.4504 23550.0 174900000.0 0.0 0.0
29 19 2.271e-10 0.4464 27530.0 185300000.0 0.0 0.0
30 20 2.397e-10 0.4458 30400.0 194100000.0 0.0 0.0
36 26 3.051e-10 0.4446 52970.0 253000000.0 0.0 0.0
42 32 3.541e-10 0.435 88820.0 333400000.0 0.0 0.0
54 44 4.923e-10 0.44 164500.0 501200000.0 0.0 0.0
12 1 5.452e-11 0.6845 5.637 1551000.0 0.3945 836000.0
13 2 3.171e-11 0.4493 182.1 35290000.0 0.2642 719000.0
14 3 6.739e-11 0.4931 216.6 44910000.0 0.1667 904600.0
15 4 1.128e-10 0.533 261.8 49630000.0 0.0994 1244000.0
16 5 1.588e-10 0.5584 335.0 51880000.0 0.0591 1656000.0
17 6 1.79e-10 0.5641 539.0 57330000.0 0.034 2038000.0
18 7 2.156e-10 0.5708 702.7 61460000.0 0.0169 2845000.0
19 8 2.516e-10 0.5771 885.4 68290000.0 0.0 0.0
20 9 2.527e-10 0.5711 1364.0 69260000.0 0.0 0.0
21 10 2.578e-10 0.5655 1955.0 71570000.0 0.0 0.0
22 11 2.711e-10 0.5628 2552.0 74160000.0 0.0 0.0
23 12 2.792e-10 0.5588 3360.0 77360000.0 0.0 0.0
24 13 3.003e-10 0.5585 3987.0 80620000.0 0.0 0.0
25 14 3.197e-10 0.5582 4712.0 83940000.0 0.0 0.0
26 15 3.133e-10 0.5507 6295.0 90350000.0 0.0 0.0
27 16 3.34e-10 0.5516 7145.0 93840000.0 0.0 0.0
28 17 3.626e-10 0.5536 7769.0 97850000.0 0.0 0.0
29 18 3.761e-10 0.5509 9021.0 103600000.0 0.0 0.0
30 19 3.885e-10 0.5492 10410.0 109500000.0 0.0 0.0
36 25 4.936e-10 0.5469 19000.0 145500000.0 0.0 0.0
42 31 6.295e-10 0.5525 27510.0 184600000.0 0.0 0.0
54 43 8.258e-10 0.5485 57950.0 291100000.0 0.0 0.0
