Z N pA pB pT0 pT1 pC pT2
1 1 8.318e-11 0.7472 2.965 700100.0 0.0 0.0
2 2 1.818e-10 0.7492 10.17 2786000.0 0.0 0.0
3 3 2.867e-10 0.7493 21.08 6268000.0 0.0 0.0
4 4 3.375e-10 0.7475 46.28 11210000.0 0.0 0.0
5 5 4.647e-10 0.7484 61.42 17530000.0 0.0 0.0
6 6 5.337e-10 0.7485 95.02 25170000.0 0.0 0.0
7 7 6.17e-10 0.7481 131.6 34270000.0 0.0 0.0
8 8 6.552e-10 0.747 195.1 44830000.0 0.0 0.0
9 9 8.218e-10 0.7491 204.6 56380000.0 0.0 0.0
10 10 8.278e-10 0.747 299.1 70060000.0 0.0 0.0
11 11 9.743e-10 0.7488 321.7 84280000.0 0.0 0.0
12 12 1.022e-09 0.7476 409.8 101100000.0 0.0 0.0
13 13 1.134e-09 0.7482 461.9 117900000.0 0.0 0.0
14 14 1.261e-09 0.7488 506.8 136500000.0 0.0 0.0
15 15 1.269e-09 0.7472 649.5 158100000.0 0.0 0.0
16 16 1.432e-09 0.7485 668.8 179300000.0 0.0 0.0
17 17 1.487e-09 0.7489 784.7 201200000.0 0.0 0.0
18 18 1.615e-09 0.7483 843.3 226600000.0 0.0 0.0
19 19 1.623e-09 0.7473 1024.0 254300000.0 0.0 0.0
20 20 1.809e-09 0.749 1025.0 278800000.0 0.0 0.0
21 21 1.752e-09 0.747 1303.0 309500000.0 0.0 0.0
22 22 1.899e-09 0.7476 1348.0 339300000.0 0.0 0.0
23 23 2.051e-09 0.749 1389.0 369100000.0 0.0 0.0
24 24 2.046e-09 0.7476 1638.0 402700000.0 0.0 0.0
25 25 2.306e-09 0.7499 1546.0 433300000.0 0.0 0.0
26 26 2.275e-09 0.7481 1836.0 473600000.0 0.0 0.0
27 27 2.234e-09 0.7461 2190.0 515200000.0 0.0 0.0
28 28 2.577e-09 0.7497 1949.0 543400000.0 0.0 0.0
29 29 2.456e-09 0.7477 2414.0 589600000.0 0.0 0.0
30 30 2.854e-09 0.7491 2125.0 627100000.0 0.0 0.0
36 36 3.14e-09 0.7485 3537.0 906200000.0 0.0 0.0
42 42 3.583e-09 0.7474 5008.0 1235000000.0 0.0 0.0
54 54 5.12e-09 0.7493 6912.0 2036000000.0 0.0 0.0
2 1 5.235e-11 0.6988 7.301 4475000.0 0.0829 168200.0
3 2 9.349e-11 0.6916 34.7 7329000.0 0.0351 629300.0
4 3 1.324e-10 0.6806 85.25 15100000.0 0.0 0.0
5 4 1.729e-10 0.6776 155.2 20650000.0 0.0 0.0
6 5 2.044e-10 0.6742 264.7 27730000.0 0.0 0.0
7 6 2.388e-10 0.6732 396.0 35830000.0 0.0 0.0
8 7 2.652e-10 0.6705 584.2 45590000.0 0.0 0.0
