[0] [PID79487] -root- 2024-12-17 14:25:22,534 | INFO | logger.py:188: root logger init, level:INFO
[0] [PID79487] -Framework Log- 2024-12-17 14:25:22,535 | INFO | client.py:46: Kafka Client initialized with brokers: 172.20.32.80:9092,172.20.32.82:9092,172.20.32.83:9092, producer_config: {}, consumer_config: {'auto.offset.reset': 'earliest', 'max.poll.interval.ms': 3000, 'heartbeat.interval.ms': 3000, 'session.timeout.ms': 3000}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:22,616 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:25,575 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:27,584 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:29,591 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:31,596 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:33,608 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:35,653 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:37,619 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:39,710 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:41,635 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:43,643 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:45,658 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:47,669 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:49,667 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:51,672 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:53,680 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:55,688 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:57,698 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:25:59,807 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:01,894 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:04,007 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:05,730 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:07,729 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:09,757 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:11,746 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:13,756 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:15,763 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:17,767 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
[0] [PID79487] -Framework Log- 2024-12-17 14:26:19,776 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}
