[0] [32m[PID79487] -Framework Log- 2024-12-17 14:25:22 | INFO | client.py:46: Kafka Client initialized with brokers: 172.20.32.80:9092,172.20.32.82:9092,172.20.32.83:9092, producer_config: {}, consumer_config: {'auto.offset.reset': 'earliest', 'max.poll.interval.ms': 3000, 'heartbeat.interval.ms': 3000, 'session.timeout.ms': 3000}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:22 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:25 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:27 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:29 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:31 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:33 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:35 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:37 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:39 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:41 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:43 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:45 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:47 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:49 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:51 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:53 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:55 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:57 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:25:59 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:01 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:04 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:05 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:07 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:09 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:11 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:13 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:15 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:17 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:19 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:21 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:23 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:25 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:27 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:29 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:31 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:33 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:35 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:37 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:39 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:41 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:43 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:45 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:47 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:49 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:51 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:53 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:55 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:57 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79487] -Framework Log- 2024-12-17 14:26:59 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
