epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,130.05372619628906
0,19,,,130.05372619628906,
0,19,88538.9375,,,
,1,,,,174.55731201171875
1,39,,,174.55731201171875,
1,39,77.3390121459961,,,
2,49,,68.60115051269531,,
,2,,,,58.623870849609375
2,59,,,58.623870849609375,
2,59,77.53800964355469,,,
,3,,,,174.05731201171875
3,79,,,174.05731201171875,
3,79,76.15223693847656,,,
4,99,,81.31515502929688,,
,4,,,,175.572509765625
4,99,,,175.57249450683594,
4,99,83.84639739990234,,,
,5,,,,59.68541717529297
5,119,,,59.6854133605957,
5,119,82.98247528076172,,,
,6,,,,170.8138885498047
6,139,,,170.8138885498047,
6,139,81.73423767089844,,,
7,149,,77.83206939697266,,
,7,,,,175.26612854003906
7,159,,,175.26612854003906,
7,159,79.22533416748047,,,
,8,,,,174.3318634033203
8,179,,,174.33184814453125,
8,179,78.54683685302734,,,
9,199,,73.5378646850586,,
,9,,,,60.50891876220703
9,199,,,60.5089225769043,
9,199,78.29530334472656,,,
,10,,,,170.68304443359375
10,219,,,170.68304443359375,
10,219,77.39505004882812,,,
,11,,,,171.6642608642578
11,239,,,171.6642608642578,
11,239,77.4107437133789,,,
12,249,,63.159725189208984,,
,12,,,,144.30502319335938
12,259,,,144.30502319335938,
12,259,76.0820083618164,,,
,13,,,,58.677947998046875
13,279,,,58.677947998046875,
13,279,77.35018920898438,,,
14,299,,78.59622955322266,,
,14,,,,58.381771087646484
14,299,,,58.381771087646484,
14,299,71.40996551513672,,,
,15,,,,172.23866271972656
15,319,,,172.23867797851562,
15,319,79.79559326171875,,,
,16,,,,170.71253967285156
16,339,,,170.71253967285156,
16,339,76.92919158935547,,,
17,349,,75.0529556274414,,
,17,,,,58.470245361328125
17,359,,,58.470245361328125,
17,359,76.32959747314453,,,
,18,,,,168.35247802734375
18,379,,,168.35247802734375,
18,379,79.34330749511719,,,
19,399,,72.9685287475586,,
,19,,,,170.5377655029297
19,399,,,170.53778076171875,
19,399,74.95115661621094,,,
,20,,,,167.9182586669922
20,419,,,167.9182586669922,
20,419,76.33892822265625,,,
,21,,,,163.60775756835938
21,439,,,163.60775756835938,
21,439,74.69071197509766,,,
22,449,,63.544456481933594,,
,22,,,,170.1456298828125
22,459,,,170.1456298828125,
22,459,76.7925796508789,,,
,23,,,,56.7987174987793
23,479,,,56.7987174987793,
23,479,78.62133026123047,,,
24,499,,77.57670593261719,,
,24,,,,169.41851806640625
24,499,,,169.41851806640625,
24,499,77.17540740966797,,,
,25,,,,168.2125701904297
25,519,,,168.21258544921875,
25,519,74.5615463256836,,,
,26,,,,165.2042236328125
26,539,,,165.2042236328125,
26,539,73.47384643554688,,,
27,549,,75.20995330810547,,
,27,,,,162.9199981689453
27,559,,,162.9199981689453,
27,559,75.64572143554688,,,
,28,,,,161.63682556152344
28,579,,,161.63682556152344,
28,579,73.29086303710938,,,
29,599,,75.27252197265625,,
,29,,,,163.90673828125
29,599,,,163.90673828125,
29,599,72.28974151611328,,,
,30,,,,53.793487548828125
30,619,,,53.793487548828125,
30,619,74.88864135742188,,,
,31,,,,142.26832580566406
31,639,,,142.26832580566406,
31,639,69.42211151123047,,,
32,649,,72.17928314208984,,
,32,,,,136.5609893798828
32,659,,,136.5609893798828,
32,659,72.85221099853516,,,
,33,,,,162.2348175048828
33,679,,,162.2348175048828,
33,679,73.14321899414062,,,
34,699,,68.34271240234375,,
,34,,,,135.99102783203125
34,699,,,135.99102783203125,
34,699,71.22042083740234,,,
,35,,,,163.41346740722656
35,719,,,163.41346740722656,
35,719,71.9710464477539,,,
,36,,,,51.118324279785156
36,739,,,51.118324279785156,
36,739,74.12857055664062,,,
37,749,,77.58988952636719,,
,37,,,,161.13250732421875
37,759,,,161.13250732421875,
37,759,73.37373352050781,,,
,38,,,,51.00246047973633
38,779,,,51.00246047973633,
38,779,72.39127349853516,,,
39,799,,61.44703674316406,,
,39,,,,158.7379150390625
39,799,,,158.7379150390625,
39,799,67.22225952148438,,,
,40,,,,163.97250366210938
40,819,,,163.97250366210938,
40,819,74.325927734375,,,
,41,,,,158.61257934570312
41,839,,,158.61257934570312,
41,839,72.87821197509766,,,
42,849,,68.05657196044922,,
,42,,,,131.29937744140625
42,859,,,131.29937744140625,
42,859,72.72537994384766,,,
,43,,,,137.9390869140625
43,879,,,137.9390869140625,
43,879,67.9472427368164,,,
44,899,,62.84513473510742,,
,44,,,,155.84066772460938
44,899,,,155.84066772460938,
44,899,71.57154846191406,,,
,45,,,,156.74803161621094
45,919,,,156.74803161621094,
45,919,73.99954223632812,,,
,46,,,,158.86460876464844
46,939,,,158.86460876464844,
46,939,66.4123764038086,,,
47,949,,57.65705871582031,,
,47,,,,155.18186950683594
47,959,,,155.18186950683594,
47,959,66.482666015625,,,
,48,,,,136.7443389892578
48,979,,,136.7443389892578,
48,979,69.19122314453125,,,
49,999,,55.37947463989258,,
,49,,,,158.75189208984375
49,999,,,158.75189208984375,
49,999,72.27835083007812,,,
,50,,,,151.8442840576172
50,1019,,,151.8442840576172,
50,1019,70.80471801757812,,,
,51,,,,148.4285125732422
51,1039,,,148.4285125732422,
51,1039,71.99551391601562,,,
52,1049,,70.41462707519531,,
,52,,,,150.5284423828125
52,1059,,,150.5284423828125,
52,1059,70.66273498535156,,,
,53,,,,151.44912719726562
53,1079,,,151.44912719726562,
53,1079,70.89440155029297,,,
54,1099,,66.85911560058594,,
,54,,,,50.300025939941406
54,1099,,,50.300025939941406,
54,1099,71.55458068847656,,,
,55,,,,133.60972595214844
55,1119,,,133.60972595214844,
55,1119,68.91352844238281,,,
,56,,,,36.94279098510742
56,1139,,,36.94279098510742,
56,1139,66.9045639038086,,,
57,1149,,61.40118408203125,,
,57,,,,39.00240707397461
57,1159,,,39.00240707397461,
57,1159,65.53939819335938,,,
,58,,,,128.3168487548828
58,1179,,,128.3168487548828,
58,1179,64.76398468017578,,,
59,1199,,54.01377487182617,,
,59,,,,128.82859802246094
59,1199,,,128.82859802246094,
59,1199,61.24428939819336,,,
,60,,,,126.73480224609375
60,1219,,,126.73480224609375,
60,1219,66.93506622314453,,,
,61,,,,130.50009155273438
61,1239,,,130.50009155273438,
61,1239,63.317283630371094,,,
62,1249,,54.01615905761719,,
,62,,,,48.658809661865234
62,1259,,,48.658809661865234,
62,1259,68.01040649414062,,,
,63,,,,145.03062438964844
63,1279,,,145.03062438964844,
63,1279,67.50199127197266,,,
64,1299,,69.7189712524414,,
,64,,,,113.66735076904297
64,1299,,,113.66735076904297,
64,1299,2269.55419921875,,,
,65,,,,116.73287963867188
65,1319,,,116.73287963867188,
65,1319,65.78555297851562,,,
,66,,,,123.64202117919922
66,1339,,,123.64202117919922,
66,1339,60.99895477294922,,,
67,1349,,52.2888298034668,,
,67,,,,36.84846878051758
67,1359,,,36.84846878051758,
67,1359,64.85723114013672,,,
,68,,,,52.37173843383789
68,1379,,,52.37173843383789,
68,1379,67.71794891357422,,,
69,1399,,56.25373840332031,,
,69,,,,114.72117614746094
69,1399,,,114.7211685180664,
69,1399,61.018394470214844,,,
,70,,,,110.78253936767578
70,1419,,,110.78253936767578,
70,1419,64.87116241455078,,,
,71,,,,123.5766830444336
