epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,2.839735507965088
,1,,,,2.57901930809021
,2,,,,1.3244049549102783
,3,,,,3.40779185295105
,4,,,,2.7195253372192383
0,9,,,2.5740954875946045,
0,9,2.7007105350494385,,,
,5,,,,2.0681920051574707
,6,,,,1.6593458652496338
,7,,,,1.339445948600769
,8,,,,1.9666070938110352
,9,,,,1.3442329168319702
1,19,,,1.6755647659301758,
1,19,2.383784294128418,,,
,10,,,,1.3736475706100464
,11,,,,1.5729150772094727
,12,,,,1.8532737493515015
,13,,,,1.4276570081710815
,14,,,,1.6261917352676392
2,29,,,1.5707370042800903,
2,29,1.5758628845214844,,,
,15,,,,1.1816753149032593
,16,,,,1.045791506767273
,17,,,,1.4245821237564087
,18,,,,1.1424602270126343
,19,,,,1.536199927330017
3,39,,,1.2661418914794922,
3,39,1.1699773073196411,,,
4,49,,0.5985704660415649,,
,20,,,,0.7004916071891785
,21,,,,1.006617546081543
,22,,,,0.8942775726318359
,23,,,,0.6395519971847534
,24,,,,1.231497049331665
4,49,,,0.8944871425628662,
4,49,0.951456606388092,,,
,25,,,,0.5130273699760437
,26,,,,0.897824764251709
,27,,,,0.5587120056152344
,28,,,,0.6380883455276489
,29,,,,0.43509331345558167
5,59,,,0.6085491180419922,
5,59,0.7949041724205017,,,
,30,,,,0.49158182740211487
,31,,,,0.44273796677589417
,32,,,,0.6906697750091553
,33,,,,0.519361674785614
,34,,,,0.5555233359336853
6,69,,,0.5399749279022217,
6,69,0.6539754271507263,,,
,35,,,,0.2926027476787567
,36,,,,0.2956162989139557
,37,,,,0.3433971703052521
,38,,,,0.2145463228225708
,39,,,,0.3587231934070587
7,79,,,0.3009771406650543,
7,79,0.4167899191379547,,,
,40,,,,0.27279141545295715
,41,,,,0.22824250161647797
,42,,,,0.2514220178127289
,43,,,,0.19756802916526794
,44,,,,0.2234712690114975
8,89,,,0.2346990406513214,
8,89,0.2594163417816162,,,
