epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,2.8407652378082275
,1,,,,2.3491992950439453
,2,,,,2.033985137939453
,3,,,,3.4077377319335938
,4,,,,2.7195069789886475
0,9,,,2.670238971710205,
0,9,2.693446159362793,,,
,5,,,,2.0690314769744873
,6,,,,1.6624587774276733
,7,,,,1.5506950616836548
,8,,,,1.9643551111221313
,9,,,,1.3417021036148071
1,19,,,1.7176486253738403,
1,19,2.382167339324951,,,
,10,,,,1.3699626922607422
,11,,,,1.567891240119934
,12,,,,1.8523571491241455
,13,,,,1.4242641925811768
,14,,,,1.6229671239852905
2,29,,,1.567488431930542,
2,29,1.593315601348877,,,
,15,,,,1.178757905960083
,16,,,,1.0462443828582764
,17,,,,1.414011836051941
,18,,,,1.1348986625671387
,19,,,,1.5328631401062012
3,39,,,1.2613551616668701,
3,39,1.192870020866394,,,
4,49,,0.5137760043144226,,
,20,,,,0.6976331472396851
,21,,,,0.9936994910240173
,22,,,,0.8930918574333191
,23,,,,0.6327018141746521
,24,,,,1.2210907936096191
4,49,,,0.8876434564590454,
4,49,0.947611391544342,,,
,25,,,,0.4296017289161682
,26,,,,0.8896524310112
,27,,,,0.5563880801200867
,28,,,,0.6352660059928894
,29,,,,0.4324757158756256
5,59,,,0.5886767506599426,
5,59,0.7818856239318848,,,
,30,,,,0.48885050415992737
,31,,,,0.5003228187561035
,32,,,,0.43083906173706055
,33,,,,0.5132570862770081
,34,,,,0.5520813465118408
6,69,,,0.49707016348838806,
6,69,0.6321359276771545,,,
,35,,,,0.39021989703178406
,36,,,,0.29909929633140564
,37,,,,0.34200921654701233
,38,,,,0.2138756811618805
,39,,,,0.4675069749355316
7,79,,,0.34254220128059387,
7,79,0.40811970829963684,,,
,40,,,,0.29088395833969116
,41,,,,0.2276722937822342
,42,,,,0.18809521198272705
,43,,,,0.1998739093542099
,44,,,,0.223615363240242
8,89,,,0.22602815926074982,
8,89,0.2704969644546509,,,
9,99,,0.1354232281446457,,
,45,,,,0.0971515029668808
,46,,,,0.18270133435726166
,47,,,,0.17923732101917267
,48,,,,0.11225898563861847
,49,,,,0.16159404814243317
9,99,,,0.14658863842487335,
9,99,0.2181839495897293,,,
,50,,,,0.10764584690332413
,51,,,,0.12016484886407852
,52,,,,0.07244153320789337
,53,,,,0.16799910366535187
,54,,,,0.08067335933446884
10,109,,,0.10978493839502335,
10,109,0.1211964413523674,,,
,55,,,,0.10159628838300705
,56,,,,0.10120322555303574
,57,,,,0.07039278745651245
,58,,,,0.07785534113645554
,59,,,,0.057987507432699203
11,119,,,0.08180703222751617,
11,119,0.08794912695884705,,,
,60,,,,0.058539893478155136
,61,,,,0.0650283694267273
,62,,,,0.05848254635930061
,63,,,,0.0639244094491005
,64,,,,0.036487508565187454
12,129,,,0.05649254471063614,
12,129,0.051639605313539505,,,
,65,,,,0.05452153831720352
,66,,,,0.02732628956437111
,67,,,,0.06800318509340286
,68,,,,0.055255450308322906
,69,,,,0.026760859414935112
13,139,,,0.04637346416711807,
13,139,0.04217086732387543,,,
14,149,,0.014203041791915894,,
,70,,,,0.027167147025465965
,71,,,,0.027958279475569725
,72,,,,0.055316388607025146
,73,,,,0.04758758470416069
,74,,,,0.015457567758858204
14,149,,,0.03469739481806755,
14,149,0.030633416026830673,,,
,75,,,,0.028304627165198326
,76,,,,0.016581116244196892
,77,,,,0.04596429690718651
,78,,,,0.040741074830293655
,79,,,,0.01581665687263012
15,159,,,0.0294815544039011,
15,159,0.02185005694627762,,,
,80,,,,0.04996928200125694
,81,,,,0.009024688974022865
,82,,,,0.05562373623251915
,83,,,,0.04388638958334923
,84,,,,0.009656429290771484
16,169,,,0.033632103353738785,
16,169,0.01839998923242092,,,
,85,,,,0.05386626720428467
,86,,,,0.0073678940534591675
,87,,,,0.06657733768224716
,88,,,,0.04343773052096367
,89,,,,0.005943926516920328
17,179,,,0.03543863445520401,
17,179,0.015402397140860558,,,
,90,,,,0.02386518009006977
,91,,,,0.007004066836088896
,92,,,,0.04103488475084305
,93,,,,0.050055623054504395
,94,,,,0.008191821165382862
18,189,,,0.026030316948890686,
18,189,0.015482772141695023,,,
19,199,,0.02517380379140377,,
,95,,,,0.02424551360309124
,96,,,,0.008454827591776848
,97,,,,0.043135326355695724
,98,,,,0.04248457029461861
,99,,,,0.005699524190276861
19,199,,,0.024803953245282173,
19,199,0.012791644781827927,,,
,100,,,,0.024715295061469078
,101,,,,0.0051090712659060955
,102,,,,0.04194783419370651
,103,,,,0.046284615993499756
,104,,,,0.003514809301123023
20,209,,,0.02431432716548443,
20,209,0.01300806924700737,,,
,105,,,,0.023812521249055862
,106,,,,0.008352023549377918
,107,,,,0.03730618581175804
,108,,,,0.04352225363254547
,109,,,,0.008327111601829529
21,219,,,0.02426401898264885,
21,219,0.015803150832653046,,,
,110,,,,0.023510126397013664
,111,,,,0.08780735731124878
,112,,,,0.03508947044610977
,113,,,,0.14861340820789337
,114,,,,0.009995377622544765
22,229,,,0.06100314483046532,
22,229,0.025594618171453476,,,
,115,,,,0.025914723053574562
,116,,,,0.006839044392108917
,117,,,,0.04031340405344963
,118,,,,0.04310014098882675
,119,,,,0.055608607828617096
23,239,,,0.03435518220067024,
23,239,0.013126939535140991,,,
24,249,,0.004852068144828081,,
,120,,,,0.02585778199136257
,121,,,,0.005376439541578293
,122,,,,0.17445366084575653
,123,,,,0.04697415605187416
,124,,,,0.0036228180397301912
24,249,,,0.051256969571113586,
24,249,0.012516763061285019,,,
,125,,,,0.055573876947164536
,126,,,,0.00824197567999363
,127,,,,0.13046333193778992
,128,,,,0.04070492833852768
,129,,,,0.006875184364616871
25,259,,,0.04837185889482498,
25,259,0.022258782759308815,,,
,130,,,,0.026288742199540138
,131,,,,0.014460386708378792
,132,,,,0.032908983528614044
,133,,,,0.05434764549136162
,134,,,,0.012222755700349808
26,269,,,0.02804570272564888,
26,269,0.021070316433906555,,,
,135,,,,0.065987728536129
,136,,,,0.006077456753700972
,137,,,,0.03914058953523636
,138,,,,0.04275279492139816
,139,,,,0.0065350220538675785
27,279,,,0.032098714262247086,
27,279,0.01492095272988081,,,
,140,,,,0.027618153020739555
,141,,,,0.007082945201545954
,142,,,,0.038721777498722076
,143,,,,0.04731478542089462
,144,,,,0.0054382444359362125
28,289,,,0.02523518167436123,
28,289,0.024785220623016357,,,
29,299,,0.004531430080533028,,
,145,,,,0.02367611601948738
,146,,,,0.006917428225278854
,147,,,,0.04014674201607704
,148,,,,0.038278862833976746
,149,,,,0.005785882938653231
29,299,,,0.022961005568504333,
29,299,0.012827012687921524,,,
,150,,,,0.02419360540807247
,151,,,,0.011192849837243557
,152,,,,0.03588372468948364
,153,,,,0.05638602003455162
,154,,,,0.01191002782434225
30,309,,,0.027913246303796768,
30,309,0.02636406011879444,,,
,155,,,,0.022595476359128952
,156,,,,0.06357087194919586
,157,,,,0.0333346426486969
,158,,,,0.037135571241378784
,159,,,,0.011660396121442318
31,319,,,0.03365939483046532,
31,319,0.02239997684955597,,,
,160,,,,0.024185700342059135
,161,,,,0.005926565267145634
,162,,,,0.03668750077486038
,163,,,,0.037657480686903
,164,,,,0.0064749098382890224
32,329,,,0.022186432033777237,
32,329,0.0220745038241148,,,
,165,,,,0.023210037499666214
,166,,,,0.00891184527426958
,167,,,,0.03206561505794525
,168,,,,0.0576702319085598
,169,,,,0.007813996635377407
33,339,,,0.02593434602022171,
33,339,0.018284661695361137,,,
34,349,,0.04577278718352318,,
,170,,,,0.02460971102118492
,171,,,,0.006213789340108633
,172,,,,0.04357488825917244
,173,,,,0.04614124819636345
,174,,,,0.004740297328680754
34,349,,,0.025055987760424614,
34,349,0.017338545992970467,,,
,175,,,,0.02546870708465576
,176,,,,0.011605738662183285
,177,,,,0.03507932648062706
,178,,,,0.040351998060941696
,179,,,,0.010154894553124905
35,359,,,0.024532131850719452,
35,359,0.025278592482209206,,,
,180,,,,0.02256789617240429
,181,,,,0.008938844315707684
,182,,,,0.03627528250217438
,183,,,,0.037035614252090454
,184,,,,0.008168897591531277
36,369,,,0.022597305476665497,
36,369,0.013706066645681858,,,
,185,,,,0.04409981891512871
,186,,,,0.005816313903778791
,187,,,,0.039735984057188034
,188,,,,0.046279966831207275
,189,,,,0.049882885068655014
37,379,,,0.03716299682855606,
37,379,0.016830863431096077,,,
,190,,,,0.02438485622406006
,191,,,,0.004977856762707233
,192,,,,0.044482458382844925
,193,,,,0.13786175847053528
,194,,,,0.003950429614633322
38,389,,,0.043131470680236816,
38,389,0.012796792201697826,,,
39,399,,0.020007647573947906,,
,195,,,,0.024504482746124268
,196,,,,0.00564813707023859
,197,,,,0.04240703210234642
,198,,,,0.03948695585131645
,199,,,,0.004128876607865095
39,399,,,0.023235097527503967,
39,399,0.012005085125565529,,,
,200,,,,0.02494739182293415
,201,,,,0.007558090146631002
,202,,,,0.03589595854282379
,203,,,,0.03967795521020889
,204,,,,0.00790504552423954
40,409,,,0.023196887224912643,
40,409,0.021844565868377686,,,
,205,,,,0.024569906294345856
,206,,,,0.006927962880581617
,207,,,,0.03567807748913765
,208,,,,0.04783473536372185
,209,,,,0.006534861866384745
41,419,,,0.024309109896421432,
41,419,0.016408419236540794,,,
,210,,,,0.05931020900607109
,211,,,,0.006409676279872656
,212,,,,0.08102194964885712
,213,,,,0.04585698992013931
,214,,,,0.005360047798603773
42,429,,,0.039591774344444275,
42,429,0.02562355063855648,,,
,215,,,,0.024678155779838562
,216,,,,0.005308907013386488
,217,,,,0.04049910232424736
,218,,,,0.041871942579746246
,219,,,,0.01596040278673172
43,439,,,0.025663701817393303,
43,439,0.012702039442956448,,,
44,449,,0.004816447850316763,,
,220,,,,0.023924870416522026
,221,,,,0.009019496850669384
,222,,,,0.036958254873752594
,223,,,,0.04405464604496956
,224,,,,0.008247590623795986
44,449,,,0.02444097027182579,
44,449,0.020443370565772057,,,
,225,,,,0.02490481361746788
,226,,,,0.05052529647946358
,227,,,,0.03445426747202873
,228,,,,0.03753857687115669
,229,,,,0.011437708511948586
45,459,,,0.03177213296294212,
45,459,0.019981103017926216,,,
,230,,,,0.024233784526586533
,231,,,,0.009085537865757942
,232,,,,0.036600202322006226
,233,,,,0.04118752479553223
,234,,,,0.008795138448476791
46,469,,,0.023980438709259033,
46,469,0.01626892387866974,,,
,235,,,,0.02477836050093174
,236,,,,0.011380854062736034
,237,,,,0.03327130153775215
,238,,,,0.038164492696523666
,239,,,,0.008358923718333244
47,479,,,0.023190787062048912,
47,479,0.02739005722105503,,,
,240,,,,0.06893020123243332
,241,,,,0.005670852959156036
,242,,,,0.04141956940293312
,243,,,,0.14456309378147125
,244,,,,0.05401680991053581
48,489,,,0.06292010098695755,
48,489,0.013659041374921799,,,
49,499,,0.019801829010248184,,
,245,,,,0.026578856632113457
,246,,,,0.004617250990122557
,247,,,,0.04582143947482109
,248,,,,0.04693864658474922
,249,,,,0.0035162572748959064
49,499,,,0.025494489818811417,
49,499,0.012266631238162518,,,
,250,,,,0.07612498849630356
,251,,,,0.006182508077472448
,252,,,,0.04300295561552048
,253,,,,0.04194280132651329
,254,,,,0.004104857798665762
50,509,,,0.03427162021398544,
50,509,0.012153551913797855,,,
,255,,,,0.026266319677233696
,256,,,,0.01285603642463684
,257,,,,0.030665317550301552
,258,,,,0.03416425362229347
,259,,,,0.08341043442487717
51,519,,,0.037472471594810486,
51,519,0.02855369634926319,,,
,260,,,,0.025291401892900467
,261,,,,0.06237250566482544
,262,,,,0.041071128100156784
,263,,,,0.04085788130760193
,264,,,,0.0037917618174105883
52,529,,,0.034676939249038696,
52,529,0.017604433000087738,,,
,265,,,,0.024614999070763588
,266,,,,0.00592068349942565
,267,,,,0.17562495172023773
,268,,,,0.03987693786621094
,269,,,,0.004811661783605814
53,539,,,0.050169847905635834,
53,539,0.012075936421751976,,,
54,549,,0.005337664391845465,,
,270,,,,0.02555522322654724
,271,,,,0.005679571535438299
,272,,,,0.03996530920267105
,273,,,,0.04267123341560364
,274,,,,0.005316088441759348
54,549,,,0.023837484419345856,
54,549,0.011788100004196167,,,
,275,,,,0.025052247568964958
,276,,,,0.023760875687003136
,277,,,,0.1370840072631836
,278,,,,0.038465242832899094
,279,,,,0.014635513536632061
55,559,,,0.047799576073884964,
55,559,0.03686032444238663,,,
,280,,,,0.02503654733300209
,281,,,,0.03728819265961647
,282,,,,0.03627884015440941
,283,,,,0.1230376735329628
,284,,,,0.04766508936882019
56,569,,,0.05386127158999443,
56,569,0.01636381819844246,,,
,285,,,,0.026796085759997368
,286,,,,0.050396908074617386
,287,,,,0.045192670077085495
,288,,,,0.04841567203402519
,289,,,,0.003650117665529251
57,579,,,0.03489029034972191,
57,579,0.012639636173844337,,,
,290,,,,0.024379868060350418
,291,,,,0.00576797453686595
,292,,,,0.14764274656772614
,293,,,,0.04133147746324539
,294,,,,0.043842948973178864
58,589,,,0.05259300395846367,
58,589,0.012366864830255508,,,
59,599,,0.025898734107613564,,
,295,,,,0.025152472779154778
,296,,,,0.007943090051412582
,297,,,,0.03578657656908035
,298,,,,0.04181379824876785
,299,,,,0.006799736060202122
59,599,,,0.023499133065342903,
59,599,0.016362523660063744,,,
,300,,,,0.026142094284296036
,301,,,,0.0423935241997242
,302,,,,0.036318112164735794
,303,,,,0.03914477303624153
,304,,,,0.05200083181262016
60,609,,,0.039199866354465485,
60,609,0.01530772726982832,,,
,305,,,,0.025215620175004005
,306,,,,0.0065499539487063885
,307,,,,0.040350038558244705
,308,,,,0.043030839413404465
,309,,,,0.005389654543250799
61,619,,,0.02410721965134144,
61,619,0.016503697261214256,,,
,310,,,,0.02526264265179634
,311,,,,0.006517752539366484
,312,,,,0.04049217328429222
,313,,,,0.04213521257042885
,314,,,,0.005535413511097431
62,629,,,0.023988638073205948,
62,629,0.012984802946448326,,,
,315,,,,0.06252395361661911
,316,,,,0.006490819156169891
,317,,,,0.039908070117235184
,318,,,,0.04348082095384598
,319,,,,0.006246262229979038
63,639,,,0.031729985028505325,
63,639,0.022272886708378792,,,
64,649,,0.007614210247993469,,
,320,,,,0.025193868204951286
,321,,,,0.011674969457089901
,322,,,,0.0368829071521759
,323,,,,0.04055096209049225
,324,,,,0.009616772644221783
64,649,,,0.024783894419670105,
64,649,0.021633559837937355,,,
,325,,,,0.023457778617739677
,326,,,,0.0045942142605781555
,327,,,,0.0451350212097168
,328,,,,0.04297589883208275
,329,,,,0.003620317904278636
65,659,,,0.023956647142767906,
65,659,0.0125190494582057,,,
,330,,,,0.02277849242091179
,331,,,,0.005546004045754671
,332,,,,0.040671657770872116
,333,,,,0.04774123802781105
,334,,,,0.00423373281955719
66,669,,,0.024194223806262016,
66,669,0.020366184413433075,,,
,335,,,,0.025488946586847305
,336,,,,0.01292631309479475
,337,,,,0.03316773846745491
,338,,,,0.03924523666501045
,339,,,,0.011692269705235958
67,679,,,0.024504100903868675,
67,679,0.019365428015589714,,,
,340,,,,0.024506304413080215
,341,,,,0.004734510090202093
,342,,,,0.041603077203035355
,343,,,,0.043953027576208115
,344,,,,0.004425510298460722
68,689,,,0.023844486102461815,
68,689,0.013661905191838741,,,
69,699,,0.0049170018173754215,,
,345,,,,0.027632374316453934
,346,,,,0.005011913366615772
,347,,,,0.04479217156767845
,348,,,,0.07694489508867264
,349,,,,0.0032864075619727373
69,699,,,0.03153355047106743,
69,699,0.012618904002010822,,,
,350,,,,0.024326181039214134
,351,,,,0.005250129383057356
,352,,,,0.0410715751349926
,353,,,,0.04243054240942001
,354,,,,0.05518556758761406
70,709,,,0.03365279734134674,
70,709,0.01234678365290165,,,
,355,,,,0.024836890399456024
,356,,,,0.036920949816703796
,357,,,,0.03769495710730553
,358,,,,0.041794389486312866
,359,,,,0.0068670520558953285
71,719,,,0.029622845351696014,
71,719,0.01810784824192524,,,
,360,,,,0.02369309775531292
,361,,,,0.011497091501951218
,362,,,,0.03597712516784668
,363,,,,0.05959109216928482
,364,,,,0.010605202056467533
72,729,,,0.02827272191643715,
72,729,0.020313313230872154,,,
,365,,,,0.02656317688524723
,366,,,,0.005709934514015913
,367,,,,0.04318194463849068
,368,,,,0.0491974912583828
,369,,,,0.004041684325784445
73,739,,,0.025738846510648727,
73,739,0.013556226156651974,,,
74,749,,0.040948450565338135,,
,370,,,,0.023988664150238037
,371,,,,0.05625611171126366
,372,,,,0.03867347165942192
,373,,,,0.037767790257930756
,374,,,,0.005455236416310072
74,749,,,0.032428253442049026,
74,749,0.016659440472722054,,,
,375,,,,0.026479696854948997
,376,,,,0.0071626449935138226
,377,,,,0.03996480256319046
,378,,,,0.06041685864329338
,379,,,,0.006819096393883228
75,759,,,0.02816861867904663,
75,759,0.012484349310398102,,,
,380,,,,0.02332405559718609
,381,,,,0.005891673266887665
,382,,,,0.041163962334394455
,383,,,,0.04683927819132805
,384,,,,0.045551251620054245
76,769,,,0.03255404531955719,
76,769,0.017958804965019226,,,
,385,,,,0.024213407188653946
,386,,,,0.005809234920889139
,387,,,,0.04104168713092804
,388,,,,0.03994273766875267
,389,,,,0.005995257291942835
77,779,,,0.02340046688914299,
77,779,0.01873347908258438,,,
,390,,,,0.024114901199936867
,391,,,,0.006100762169808149
,392,,,,0.04013078287243843
,393,,,,0.04196298122406006
,394,,,,0.006099735852330923
78,789,,,0.02368183434009552,
78,789,0.012335674837231636,,,
79,799,,0.00448865070939064,,
