[0] [32m[PID79330] -Framework Log- 2024-12-17 14:24:31 | INFO | client.py:46: Kafka Client initialized with brokers: 172.20.32.80:9092,172.20.32.82:9092,172.20.32.83:9092, producer_config: {}, consumer_config: {'auto.offset.reset': 'earliest', 'max.poll.interval.ms': 1000, 'heartbeat.interval.ms': 3000, 'session.timeout.ms': 300}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:36 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:39 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:41 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:43 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:45 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:47 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:49 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:51 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:53 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:55 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:57 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:24:59 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:25:01 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:25:03 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:25:05 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:25:07 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
[0] [31m[PID79330] -Framework Log- 2024-12-17 14:25:09 | ERROR | client.py:171: Kafka error: KafkaError{code=INVALID_SESSION_TIMEOUT,val=26,str="JoinGroup failed: Broker: Invalid session timeout"}[0m
